,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,status
0,Bank of East Asia HK,Payment company,"phone, online",1000,1000.0,128.57,0.093300989,0.2459,100.0,9.3301,10.0,10.2459033645,102.4590336448,,997.541,93.301,2021-10-28 09:53:07,Bank Account,Bank Account,0.09353098482900489,2021-10-28 09:52:31,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
1,China Construction Bank,Payment company,"phone, online",1000,1000.0,128.57,0.0933619643,0.1302,100.0,9.3362,10.0,10.1301974432,101.3019744323,,998.698,93.362,2021-10-28 09:18:03,Bank Account,Bank Account,0.09348367769391978,2021-10-28 09:17:32,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
2,Chong Hing Bank,Bank,"phone, online",1000,1000.0,128.57,0.0931645192,0.4186,110.0,10.2481,11.0,11.4185531798,114.1855317984,,995.8145,93.1645,2021-10-28 09:46:12,Bank Account,Bank Account,0.0935561012612659,2021-10-28 09:45:32,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
3,CITIC Bank,Payment company,"phone, online",1000,1000.0,128.57,0.093130681,0.4172,100.0,9.3131,10.0,10.417176594,104.1717659397,,995.8282,93.1307,2021-10-28 09:50:08,Bank Account,Bank Account,0.09352082797634353,2021-10-28 09:49:32,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
4,DBS Hong Kong,Payment company,"phone, online",1000,1000.0,128.57,0.0930137381,0.5652,100.0,9.3014,10.0,10.5652349766,105.6523497665,,994.3477,93.0137,2021-10-28 09:47:21,Bank Account,Bank Account,0.09354247290399723,2021-10-28 09:46:32,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
5,Fubon Bank (Hong Kong),Payment company,"phone, online",1000,1000.0,128.57,0.0932044626,0.3491,100.0,9.3204,10.0,10.3491059139,103.4910591386,,996.5089,93.2045,2021-10-28 09:53:08,Bank Account,Bank Account,0.09353098482900489,2021-10-28 09:52:31,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
6,Hang Seng Bank,Payment company,"phone, online",1000,1000.0,128.57,0.0930146033,0.4913,65.0,6.0459,6.5,6.9913197191,69.9131971905,,995.0868,93.0146,2021-10-28 09:58:07,Bank Account,Bank Account,0.09347385879312672,2021-10-28 09:57:32,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
7,HSBC Hong Kong,Payment company,"phone, online",1000,1000.0,128.57,0.0928418903,0.6761,50.0,4.6421,5.0,5.6760911985,56.7609119855,,993.2391,92.8419,2021-10-28 09:58:11,Bank Account,Bank Account,0.09347385879312672,2021-10-28 09:57:32,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
8,InstaReM,Payment company,online,1000,980.0,128.57,0.0934,0.1438,20.0,1.868,2.0408163265,2.1437504038,21.408753957,,978.5912,91.532,2021-10-28 09:51:48,Debit Card,Bank Account,0.09353445615839548,2021-10-28 09:51:32,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
9,InstaReM,Payment company,online,1000,986.0,128.57,0.0934,0.1438,14.0,1.3076,1.4198782961,1.5437504038,15.4173789812,,984.5826,92.0924,2021-10-28 09:51:47,Bank Account,Bank Account,0.09353445615839548,2021-10-28 09:51:32,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
10,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",1000,1000.0,128.57,0.0932227091,0.326,115.0,10.7206,11.5,11.8260351792,118.2603517923,,996.7396,93.2227,2021-10-28 09:51:09,Bank Account,Bank Account,0.09352764206736952,2021-10-28 09:50:32,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
11,Public Bank Hong Kong,Payment company,"phone, online",1000,1000.0,128.57,0.0933088242,0.234,60.0,5.5985,6.0,6.2339606207,62.3396062065,,997.6604,93.3088,2021-10-28 09:51:08,Bank Account,Bank Account,0.09352764206736952,2021-10-28 09:50:32,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
12,Shanghai Commercial Bank,Payment company,"phone, online",1000,1000.0,128.57,0.0931532371,0.4039,170.0,15.8361,17.0,17.4038744537,174.038744537,,995.9613,93.1532,2021-10-28 09:53:10,Bank Account,Bank Account,0.09353098482900489,2021-10-28 09:52:31,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
13,Skrill,Payment company,,1000,1000.0,128.57,0.0908,2.9211,0.0,0.0,0.0,2.9211199147,29.2111991466,up to 1 hours,970.7888,90.8,2021-10-28 09:42:55,Debit Card,Bank Account,0.09353218735134163,2021-10-28 09:42:32,Not specified,"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}",
14,Skrill,Payment company,,1000,1000.0,128.57,0.0908,2.9211,19.9,1.8069,1.99,4.9111199147,49.1111991466,up to 1 hours,970.7888,90.8,2021-10-28 09:42:56,Credit Card,Bank Account,0.09353218735134163,2021-10-28 09:42:32,Not specified,"{'pay_in_method': 'CREDIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}",
15,Western Union,Payment company,"phone, online",1000,1000.0,128.57,0.0932061,0.3365,0.0,0.0,0.0,0.3365324957,3.3653249565,1 Business days,996.6347,93.2061,2021-10-28 09:50:08,Mobile Wallet,Bank Account,0.09352082797634353,2021-10-28 09:49:32,Not specified,"{'pay_in_method': 'TapNGo', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",
