,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,status
0,Bank of East Asia HK,Payment company,"phone, online",5000,5000.0,642.43,0.819000819,0.366,100.0,81.9001,2.0,2.3660163139,118.3008156968,,4981.6992,4095.0041,2021-11-01 17:08:06,Bank Account,Bank Account,0.8220095079018374,2021-11-01 17:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
1,Chong Hing Bank,Bank,"phone, online",5000,5000.0,642.43,0.8165264963,0.667,110.0,89.8179,2.2,2.8670253281,143.3512664046,,4966.6487,4082.6325,2021-11-01 16:58:21,Bank Account,Bank Account,0.8220095079018374,2021-11-01 16:57:51,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
2,CITIC Bank,Payment company,"phone, online",5000,5000.0,642.43,0.8157272208,0.7643,100.0,81.5727,2.0,2.7642596617,138.2129830865,,4961.787,4078.6361,2021-11-01 17:05:21,Bank Account,Bank Account,0.8220095079018374,2021-11-01 17:04:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
3,DBS Hong Kong,Payment company,"phone, online",5000,5000.0,642.43,0.8172605427,0.5777,100.0,81.7261,2.0,2.5777263152,128.8863157615,,4971.1137,4086.3027,2021-11-01 16:57:39,Bank Account,Bank Account,0.8220095079018374,2021-11-01 16:56:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
4,Fubon Bank (Hong Kong),Payment company,"phone, online",5000,5000.0,642.43,0.8197393229,0.2762,100.0,81.9739,2.0,2.2761750302,113.8087515089,,4986.1912,4098.6966,2021-11-01 16:53:09,Bank Account,Bank Account,0.8220095079018374,2021-11-01 16:52:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
5,Hang Seng Bank,Payment company,"phone, online",5000,5000.0,642.43,0.8159934721,0.7319,65.0,53.0396,1.3,2.0318693752,101.5934687603,,4963.4065,4079.9674,2021-11-01 16:58:08,Bank Account,Bank Account,0.8220095079018374,2021-11-01 16:57:51,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
6,HSBC Hong Kong,Payment company,"phone, online",5000,5000.0,642.43,0.8165931733,0.6589,50.0,40.8297,1.0,1.6589138652,82.9456932596,,4967.0543,4082.9659,2021-11-01 16:58:09,Bank Account,Bank Account,0.8220095079018374,2021-11-01 16:57:51,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
7,InstaReM,Payment company,online,5000,4862.5,642.43,0.8211,0.1106,137.5,112.9013,2.8277634961,2.8606444503,142.8800863982,,4857.1199,3992.5988,2021-11-01 17:07:01,Debit Card,Bank Account,0.8220095079018374,2021-11-01 17:06:52,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
8,InstaReM,Payment company,online,5000,4962.5,642.43,0.8211,0.1106,37.5,30.7913,0.7556675063,0.8606444503,42.9907308486,,4957.0093,4074.7088,2021-11-01 17:07:00,Bank Account,Bank Account,0.8220095079018374,2021-11-01 17:06:52,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
9,MoneyGram,Payment company,online,5000,5000.0,642.43,0.813595,1.1113,8.0,6.5088,0.16,1.2713235354,63.5661767692,,4944.4338,4067.975,2021-11-01 06:42:03,Credit Card,Bank Account,0.8227382841867846,2021-11-01 06:41:48,Not specified,"{'pay_in_method': 'creditCardExplicit', 'pay_out_method': 'UnionPay Cards', 'location_from': '', 'location_to': ''}",
