,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,status
0,Bank of East Asia HK,Payment company,"phone, online",1000,1000.0,128.49,0.1107419712,0.0622,100.0,11.0742,10.0,10.062176786,100.6217678603,,999.3782,110.742,2021-11-01 17:08:06,Bank Account,Bank Account,0.11081086984453295,2021-11-01 17:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
1,China Construction Bank,Payment company,"phone, online",1000,1000.0,128.49,0.1106635386,0.133,100.0,11.0664,10.0,10.1329574142,101.3295741422,,998.6704,110.6635,2021-11-01 17:07:16,Bank Account,Bank Account,0.11081086984453295,2021-11-01 17:06:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
2,Chong Hing Bank,Bank,"phone, online",1000,1000.0,128.49,0.1106586402,0.1675,110.0,12.1725,11.0,11.167474376,111.6747437596,,998.3253,110.6586,2021-11-01 16:58:21,Bank Account,Bank Account,0.1108442759861236,2021-11-01 16:57:51,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
3,CITIC Bank,Payment company,"phone, online",1000,1000.0,128.49,0.1104106171,0.374,100.0,11.0411,10.0,10.3740258243,103.7402582429,,996.2597,110.4106,2021-11-01 17:05:21,Bank Account,Bank Account,0.11082513169728896,2021-11-01 17:04:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
4,DBS Hong Kong,Payment company,"phone, online",1000,1000.0,128.49,0.1101418627,0.6337,100.0,11.0142,10.0,10.633693766,106.3369376604,,993.6631,110.1419,2021-11-01 16:57:39,Bank Account,Bank Account,0.1108442759861236,2021-11-01 16:56:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
5,Fubon Bank (Hong Kong),Payment company,"phone, online",1000,1000.0,128.49,0.1105131124,0.2687,100.0,11.0513,10.0,10.2687078119,102.6870781194,,997.3129,110.5131,2021-11-01 17:08:08,Bank Account,Bank Account,0.11081086984453295,2021-11-01 17:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
6,Hang Seng Bank,Payment company,"phone, online",1000,1000.0,128.49,0.1102292769,0.5506,65.0,7.1649,6.5,7.0505663757,70.5056637565,,994.4943,110.2293,2021-11-01 17:13:09,Bank Account,Bank Account,0.11083952203520493,2021-11-01 17:12:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
7,HSBC Hong Kong,Payment company,"phone, online",1000,1000.0,128.49,0.1100110011,0.7475,50.0,5.5006,5.0,5.7474959472,57.4749594719,,992.525,110.011,2021-11-01 17:13:09,Bank Account,Bank Account,0.11083952203520493,2021-11-01 17:12:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
8,InstaReM,Payment company,online,1000,976.0,128.49,0.1107,0.1001,24.0,2.6568,2.4590163934,2.500053221,24.9765194373,,975.0235,108.0432,2021-11-01 17:07:00,Debit Card,Bank Account,0.11081086984453295,2021-11-01 17:06:52,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
9,InstaReM,Payment company,online,1000,996.0,128.49,0.1107,0.1001,4.0,0.4428,0.4016064257,0.500053221,4.9965300815,,995.0035,110.2572,2021-11-01 17:07:00,Bank Account,Bank Account,0.11081086984453295,2021-11-01 17:06:52,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
