,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,status
0,Bank of East Asia HK,Payment company,"phone, online",10000,10000.0,1284.85,0.0937207123,0.32,100.0,9.3721,1.0,1.3200044201,132.000442009,,9967.9996,937.2071,2021-11-01 16:53:07,Bank Account,Bank Account,0.09402158550687395,2021-11-01 16:52:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
1,China Construction Bank,Payment company,"phone, online",10000,10000.0,1284.85,0.0937294967,0.3009,100.0,9.3729,1.0,1.3009065801,130.0906580091,,9969.9093,937.295,2021-11-01 16:50:33,Bank Account,Bank Account,0.09401238612856391,2021-11-01 16:49:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
2,Chong Hing Bank,Bank,"phone, online",10000,10000.0,1284.85,0.0937558597,0.3009,110.0,10.3131,1.1,1.4008787538,140.0878753768,,9969.9121,937.5586,2021-11-01 16:58:21,Bank Account,Bank Account,0.09403880251830914,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
3,CITIC Bank,Payment company,"phone, online",10000,10000.0,1284.85,0.0935970274,0.437,100.0,9.3597,1.0,1.4369957302,143.6995730205,,9956.3004,935.9703,2021-11-01 16:51:01,Bank Account,Bank Account,0.0940078375947578,2021-11-01 16:50:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
4,DBS Hong Kong,Payment company,"phone, online",10000,10000.0,1284.85,0.0934762897,0.5872,100.0,9.3476,1.0,1.5871688865,158.7168886537,,9941.2831,934.7629,2021-11-01 16:57:39,Bank Account,Bank Account,0.09402839522035204,2021-11-01 16:56:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
5,Fubon Bank (Hong Kong),Payment company,"phone, online",10000,10000.0,1284.85,0.0933314667,0.734,100.0,9.3331,1.0,1.7340003885,173.4000388479,,9926.6,933.3147,2021-11-01 16:53:09,Bank Account,Bank Account,0.09402158550687395,2021-11-01 16:52:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
6,Hang Seng Bank,Payment company,"phone, online",10000,10000.0,1284.85,0.0934404784,0.6363,65.0,6.0736,0.65,1.2862523629,128.6252362894,,9936.3748,934.4048,2021-11-01 16:58:08,Bank Account,Bank Account,0.09403880251830914,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
7,HSBC Hong Kong,Payment company,"phone, online",10000,10000.0,1284.85,0.0932835821,0.8031,50.0,4.6642,0.5,1.3030944765,130.3094476463,,9919.6906,932.8358,2021-11-01 16:58:09,Bank Account,Bank Account,0.09403880251830914,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
8,InstaReM,Payment company,online,10000,9770.0,1284.85,0.0939,0.1365,230.0,21.597,2.3541453429,2.4365494115,243.3408775073,,9756.6591,917.403,2021-11-01 16:52:16,Debit Card,Bank Account,0.09402839522035204,2021-11-01 16:51:51,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
9,InstaReM,Payment company,online,10000,9970.0,1284.85,0.0939,0.1365,30.0,2.817,0.3009027081,0.4365494115,43.6139763303,,9956.386,936.183,2021-11-01 16:52:15,Bank Account,Bank Account,0.09402839522035204,2021-11-01 16:51:51,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
10,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",10000,10000.0,1284.85,0.0937031484,0.3241,115.0,10.7759,1.15,1.4741103899,147.4110389906,,9967.589,937.0315,2021-11-01 16:51:10,Bank Account,Bank Account,0.0940078375947578,2021-11-01 16:50:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
11,OFX,Payment company,,10000,10000.0,1284.85,0.0918445,2.137,60.0,5.5107,0.6,2.7370016785,273.7001678516,,9786.2998,918.445,2021-11-01 13:17:38,Bank Account,Bank Account,0.09385007773651817,2021-11-01 13:16:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
12,Public Bank Hong Kong,Payment company,"phone, online",10000,10000.0,1284.85,0.0937901539,0.2316,60.0,5.6274,0.6,0.8315590813,83.1559081333,,9976.8441,937.9015,2021-11-01 16:51:09,Bank Account,Bank Account,0.0940078375947578,2021-11-01 16:50:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
13,Shanghai Commercial Bank,Payment company,"phone, online",10000,10000.0,1284.85,0.0937207123,0.32,170.0,15.9325,1.7,2.0200044201,202.000442009,,9967.9996,937.2071,2021-11-01 16:53:09,Bank Account,Bank Account,0.09402158550687395,2021-11-01 16:52:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
14,Skrill,Payment company,,10000,10000.0,1284.85,0.0913,2.9124,0.0,0.0,0.0,2.9124174755,291.2417475516,up to 1 hours,9708.7583,913.0,2021-11-01 16:58:46,Debit Card,Bank Account,0.09403880251830914,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}",
15,Skrill,Payment company,,10000,10000.0,1284.85,0.0913,2.9124,198.9990990991,18.1686,1.989990991,4.9024084665,490.2408466507,up to 1 hours,9708.7583,913.0,2021-11-01 16:58:45,Credit Card,Bank Account,0.09403880251830914,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'CREDIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}",
16,Wing Lung bank,Bank,"phone, online",10000,10000.0,1284.85,0.0941176471,-0.0949,100.0,9.4118,1.0,0.9050799088,90.5079908827,,10009.492,941.1765,2021-11-01 16:57:07,Bank Account,Bank Account,0.09402839522035204,2021-11-01 16:56:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
