,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,status
0,Bank of East Asia HK,Payment company,"phone, online",100,100.0,12.85,14.6220207633,0.2995,100.0,1462.2021,100.0,100.299454553,100.299454553,,99.7005,1462.2021,2021-11-01 17:08:06,Bank Account,Bank Account,14.665938584093537,2021-11-01 17:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
1,China Construction Bank,Payment company,"phone, online",100,100.0,12.85,14.6556651474,0.07,100.0,1465.5665,100.0,100.0700496369,100.0700496369,,99.93,1465.5665,2021-11-01 17:07:16,Bank Account,Bank Account,14.665938584093537,2021-11-01 17:06:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
2,Chong Hing Bank,Bank,"phone, online",100,100.0,12.85,14.6305779078,0.2411,110.0,1609.3636,110.0,110.2411074891,110.2411074891,,99.7589,1463.0578,2021-11-01 17:14:57,Bank Account,Bank Account,14.665938584093537,2021-11-01 17:14:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
3,CITIC Bank,Payment company,"phone, online",100,100.0,12.85,14.6070698218,0.4058,100.0,1460.707,100.0,100.4057604704,100.4057604704,,99.5942,1460.707,2021-11-01 17:05:21,Bank Account,Bank Account,14.666581009893358,2021-11-01 17:04:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
4,DBS Hong Kong,Payment company,"phone, online",100,100.0,12.85,14.5878920496,0.5539,100.0,1458.7892,100.0,100.5539425225,100.5539425225,,99.4461,1458.7892,2021-11-01 16:57:39,Bank Account,Bank Account,14.669150713092638,2021-11-01 16:56:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
5,Fubon Bank (Hong Kong),Payment company,"phone, online",100,100.0,12.85,14.5566764196,0.745,100.0,1455.6676,100.0,100.7450062867,100.7450062867,,99.255,1455.6676,2021-11-01 17:08:08,Bank Account,Bank Account,14.665938584093537,2021-11-01 17:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
6,Hang Seng Bank,Payment company,"phone, online",100,100.0,12.85,14.5815106445,0.5844,65.0,947.7982,65.0,65.5843832104,65.5843832104,,99.4156,1458.1511,2021-11-01 17:13:09,Bank Account,Bank Account,14.667223435693177,2021-11-01 17:12:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
7,HSBC Hong Kong,Payment company,"phone, online",100,100.0,12.85,14.5518044237,0.7869,50.0,727.5902,50.0,50.7869179361,50.7869179361,,99.2131,1455.1804,2021-11-01 17:13:09,Bank Account,Bank Account,14.667223435693177,2021-11-01 17:12:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
8,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",100,100.0,12.85,14.6348602371,0.2119,115.0,1683.0089,115.0,115.2119083401,115.2119083401,,99.7881,1463.486,2021-11-01 17:06:09,Bank Account,Bank Account,14.665938584093537,2021-11-01 17:05:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
9,Public Bank Hong Kong,Payment company,"phone, online",100,100.0,12.85,14.655450362,0.0715,60.0,879.327,60.0,60.0715141554,60.0715141554,,99.9285,1465.545,2021-11-01 17:06:07,Bank Account,Bank Account,14.665938584093537,2021-11-01 17:05:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
10,Shanghai Commercial Bank,Payment company,"phone, online",100,100.0,12.85,14.6295077171,0.2484,170.0,2487.0163,170.0,170.2484046065,170.2484046065,,99.7516,1462.9508,2021-11-01 17:08:19,Bank Account,Bank Account,14.665938584093537,2021-11-01 17:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
11,Western Union,Payment company,"phone, online",100,100.0,12.85,14.5006791,1.1355,0.0,0.0,0.0,1.1354864567,1.1354864567,1 Business days,98.8645,1450.0679,2021-11-01 17:02:11,Bank Account,Bank Account,14.667223435693177,2021-11-01 17:01:52,Not specified,"{'pay_in_method': 'WUPay', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",
12,Western Union,Payment company,"phone, online",100,100.0,12.85,14.1044054,3.8373,15.0,211.5661,15.0,18.83725003,18.83725003,1 Business days,96.1627,1410.4405,2021-11-01 17:02:11,Debit Card,Bank Account,14.667223435693177,2021-11-01 17:01:52,Not specified,"{'pay_in_method': 'DebitCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",
13,Western Union,Payment company,"phone, online",100,100.0,12.85,14.1044054,3.8373,15.0,211.5661,15.0,18.83725003,18.83725003,1 Business days,96.1627,1410.4405,2021-11-01 17:02:11,Credit Card,Bank Account,14.667223435693177,2021-11-01 17:01:52,Not specified,"{'pay_in_method': 'CreditCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",
