,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,status
0,Bank of East Asia HK,Payment company,"phone, online",100000,100000.0,12848.52,0.1726817475,0.2944,100.0,17.2682,0.1,0.3943698877,394.3698877365,,99705.6301,17268.1748,2021-11-01 17:08:06,Bank Account,Bank Account,0.17319157137350635,2021-11-01 17:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
1,China Construction Bank,Payment company,"phone, online",100000,100000.0,12848.52,0.1728757887,0.1823,100.0,17.2876,0.1,0.2823314063,282.3314063242,,99817.6686,17287.5789,2021-11-01 17:07:16,Bank Account,Bank Account,0.17319157137350635,2021-11-01 17:06:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
2,Chong Hing Bank,Bank,"phone, online",100000,100000.0,12848.52,0.1728339584,0.2065,110.0,19.0117,0.11,0.3164840422,316.4840422202,,99793.516,17283.3958,2021-11-01 16:58:21,Bank Account,Bank Account,0.17319157137350635,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
3,CITIC Bank,Payment company,"phone, online",100000,100000.0,12848.52,0.1724108205,0.4582,100.0,17.2411,0.1,0.5581865676,558.1865675912,,99541.8134,17241.0821,2021-11-01 17:05:21,Bank Account,Bank Account,0.17320441988950275,2021-11-01 17:04:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
4,DBS Hong Kong,Payment company,"phone, online",100000,100000.0,12848.52,0.1724673174,0.4182,100.0,17.2467,0.1,0.5181808182,518.1808181646,,99581.8192,17246.7317,2021-11-01 16:57:39,Bank Account,Bank Account,0.17319157137350635,2021-11-01 16:56:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
5,Fubon Bank (Hong Kong),Payment company,"phone, online",100000,100000.0,12848.52,0.1722000276,0.5725,100.0,17.22,0.1,0.6725127462,672.5127462257,,99427.4873,17220.0028,2021-11-01 17:08:08,Bank Account,Bank Account,0.17319157137350635,2021-11-01 17:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
6,Hang Seng Bank,Payment company,"phone, online",100000,100000.0,12848.52,0.1725923369,0.346,65.0,11.2185,0.065,0.4109951708,410.995170846,,99654.0048,17259.2337,2021-11-01 16:58:08,Bank Account,Bank Account,0.17319157137350635,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
7,HSBC Hong Kong,Payment company,"phone, online",100000,100000.0,12848.52,0.171906964,0.7417,50.0,8.5953,0.05,0.7917262931,791.7262931499,,99258.2737,17190.6964,2021-11-01 16:58:09,Bank Account,Bank Account,0.17319157137350635,2021-11-01 16:57:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
8,InstaReM,Payment company,online,100000,99550.0,12848.52,0.173,0.1106,450.0,77.85,0.4520341537,0.5606124114,560.1146555881,,99439.8853,17222.15,2021-11-01 17:07:02,Bank Account,Bank Account,0.17319157137350635,2021-11-01 17:06:52,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",100000,100000.0,12848.52,0.1725923369,0.346,115.0,19.8481,0.115,0.4609951708,460.995170846,,99654.0048,17259.2337,2021-11-01 17:06:09,Bank Account,Bank Account,0.17319157137350635,2021-11-01 17:05:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
