,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,status
0,Bank of East Asia HK,Payment company,"phone, online",100,100.0,12.85,0.1283202874,0.1283,100.0,12.832,100.0,100.1283202874,100.1283202874,,99.8717,12.832,2021-11-01 16:53:07,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:53:07,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
1,China Construction Bank,Payment company,"phone, online",100,100.0,12.85,0.1283631136,0.0963,100.0,12.8363,100.0,100.0962723352,100.0962723352,,99.9037,12.8363,2021-11-01 16:50:33,Bank Account,Bank Account,0.12848681082886843,2021-11-01 16:50:33,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
2,Chong Hing Bank,Bank,"phone, online",100,100.0,12.85,0.1282412988,0.1898,110.0,14.1065,110.0,110.1897971223,110.1897971223,,99.8102,12.8241,2021-11-01 16:58:21,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:58:21,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
3,CITIC Bank,Payment company,"phone, online",100,100.0,12.85,0.1282347208,0.1949,100.0,12.8235,100.0,100.1949167757,100.1949167757,,99.8051,12.8235,2021-11-01 16:51:01,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:51:01,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
4,DBS Hong Kong,Payment company,"phone, online",100,100.0,12.85,0.1280737705,0.3202,100.0,12.8074,100.0,100.3201844262,100.3201844262,,99.6798,12.8074,2021-11-01 16:57:39,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:57:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
5,Fubon Bank (Hong Kong),Payment company,"phone, online",100,100.0,12.85,0.1283548756,0.1014,100.0,12.8355,100.0,100.1014003517,100.1014003517,,99.8986,12.8355,2021-11-01 16:53:09,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:53:09,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
6,Hang Seng Bank,Payment company,"phone, online",100,100.0,12.85,0.1282051282,0.2179,65.0,8.3333,65.0,65.2179487179,65.2179487179,,99.7821,12.8205,2021-11-01 16:58:08,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:58:08,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
7,HSBC Hong Kong,Payment company,"phone, online",100,100.0,12.85,0.1279787043,0.3942,50.0,6.3989,50.0,50.3941744094,50.3941744094,,99.6058,12.7979,2021-11-01 16:58:09,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:58:09,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
8,InstaReM,Payment company,online,100,95.51,12.85,0.1284,0.0663,4.49,0.5765,4.7010784211,4.55628,4.553304028,,95.4467,12.2635,2021-11-01 16:52:19,Bank Account,Bank Account,0.12848515996402415,2021-11-01 16:52:19,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
9,InstaReM,Payment company,online,100,98.0,12.85,0.1284,0.0663,2.0,0.2568,2.0408163265,2.06628,2.0649544,,97.935,12.5832,2021-11-01 16:52:19,Debit Card,Bank Account,0.12848515996402415,2021-11-01 16:52:19,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",
