,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",1000,1000.0,128.5,0.0938967136,0.5707,100.0,9.3897,10.0,10.5707207917,105.7072079175,,994.2928,93.8967,2021-11-02 17:38:06,Bank Account,Bank Account,0.09443567766226757,2021-11-02 17:37:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
1,China Construction Bank,Payment company,"phone, online",1000,1000.0,128.5,0.0941592987,0.256,100.0,9.4159,10.0,10.2560175321,102.5601753214,,997.4398,94.1593,2021-11-02 17:33:05,Bank Account,Bank Account,0.09440098176537863,2021-11-02 17:32:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
2,Chong Hing Bank,Bank,"phone, online",1000,1000.0,128.5,0.0938764398,0.5544,110.0,10.3264,11.0,11.5543751582,115.5437515825,,994.4562,93.8764,2021-11-02 17:29:24,Bank Account,Bank Account,0.09439976869699307,2021-11-02 17:28:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
3,CITIC Bank,Payment company,"phone, online",1000,1000.0,128.5,0.0939893792,0.4653,100.0,9.3989,10.0,10.465281322,104.6528132198,,995.3472,93.9894,2021-11-02 17:35:09,Bank Account,Bank Account,0.09442873848288978,2021-11-02 17:34:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
4,DBS Hong Kong,Payment company,"phone, online",1000,1000.0,128.5,0.0938561748,0.5758,100.0,9.3856,10.0,10.5758424059,105.7584240593,,994.2416,93.8562,2021-11-02 17:29:32,Bank Account,Bank Account,0.09439976869699307,2021-11-02 17:28:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",1000,1000.0,128.5,0.0936838358,0.7961,100.0,9.3684,10.0,10.7961417654,107.9614176539,,992.0386,93.6838,2021-11-02 17:38:08,Bank Account,Bank Account,0.09443567766226757,2021-11-02 17:37:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
6,Hang Seng Bank,Payment company,"phone, online",1000,1000.0,128.5,0.0938878978,0.5349,65.0,6.1027,6.5,7.0349259673,70.3492596728,,994.6507,93.8879,2021-11-02 17:28:08,Bank Account,Bank Account,0.0943928296067849,2021-11-02 17:27:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
7,HSBC Hong Kong,Payment company,"phone, online",1000,1000.0,128.5,0.0936855912,0.7493,50.0,4.6843,5.0,5.7492501853,57.4925018526,,992.5075,93.6856,2021-11-02 17:28:11,Bank Account,Bank Account,0.0943928296067849,2021-11-02 17:27:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
8,InstaReM,Payment company,online,1000,980.0,128.5,0.0943,0.1363,20.0,1.886,2.0408163265,2.136334007,21.3360732681,,978.6639,92.414,2021-11-02 17:36:42,Debit Card,Bank Account,0.09442873848288978,2021-11-02 17:35:52,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
9,InstaReM,Payment company,online,1000,986.0,128.5,0.0943,0.1363,14.0,1.3202,1.4198782961,1.536334007,15.3442533086,,984.6557,92.9798,2021-11-02 17:36:42,Bank Account,Bank Account,0.09442873848288978,2021-11-02 17:35:52,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
10,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",1000,1000.0,128.5,0.0941176471,0.3294,115.0,10.8235,11.5,11.8294457059,118.294457059,,996.7055,94.1176,2021-11-02 17:36:09,Bank Account,Bank Account,0.09442873848288978,2021-11-02 17:35:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
11,Public Bank Hong Kong,Payment company,"phone, online",1000,1000.0,128.5,0.0940326858,0.4194,60.0,5.642,6.0,6.4194196891,64.1941968905,,995.8058,94.0327,2021-11-02 17:36:08,Bank Account,Bank Account,0.09442873848288978,2021-11-02 17:35:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
12,Shanghai Commercial Bank,Payment company,"phone, online",1000,1000.0,128.5,0.0937646507,0.7106,170.0,15.94,17.0,17.7105650663,177.105650663,,992.8943,93.7647,2021-11-02 17:38:11,Bank Account,Bank Account,0.09443567766226757,2021-11-02 17:37:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
13,Skrill,Payment company,,1000,1000.0,128.5,0.0917,2.9015,0.0,0.0,0.0,2.9015080081,29.015080081,up to 1 hours,970.9849,91.7,2021-11-02 17:03:35,Debit Card,Bank Account,0.09444018966602845,2021-11-02 17:02:52,Not specified,"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}",GB,GBP,
14,Skrill,Payment company,,1000,1000.0,128.5,0.0917,2.9015,19.9,1.8248,1.99,4.8915080081,48.915080081,up to 1 hours,970.9849,91.7,2021-11-02 17:03:35,Credit Card,Bank Account,0.09444018966602845,2021-11-02 17:02:52,Not specified,"{'pay_in_method': 'CREDIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}",GB,GBP,
15,Western Union,Payment company,"phone, online",1000,1000.0,128.5,0.0938283,0.6088,0.0,0.0,0.0,0.6088451474,6.0884514743,1 Business days,993.9115,93.8283,2021-11-02 15:52:00,Mobile Wallet,Bank Account,0.09440306850159978,2021-11-02 15:51:52,Not specified,"{'pay_in_method': 'TapNGo', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",GB,GBP,
16,Western Union,Payment company,"phone, online",1000,1000.0,128.5,0.0930747,1.4071,15.0,1.3961,1.5,2.9071242839,29.0712428387,1 Business days,985.9288,93.0747,2021-11-02 15:52:00,Credit Card,Bank Account,0.09440306850159978,2021-11-02 15:51:52,Not specified,"{'pay_in_method': 'CreditCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",GB,GBP,
17,Western Union,Payment company,"phone, online",1000,1000.0,128.5,0.0938283,0.6088,0.0,0.0,0.0,0.6088451474,6.0884514743,1 Business days,993.9115,93.8283,2021-11-02 15:52:00,Bank Account,Bank Account,0.09440306850159978,2021-11-02 15:51:52,Not specified,"{'pay_in_method': 'WUPay', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",GB,GBP,
18,Western Union,Payment company,"phone, online",1000,1000.0,128.5,0.0930747,1.4071,15.0,1.3961,1.5,2.9071242839,29.0712428387,1 Business days,985.9288,93.0747,2021-11-02 15:52:00,Debit Card,Bank Account,0.09440306850159978,2021-11-02 15:51:52,Not specified,"{'pay_in_method': 'DebitCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",GB,GBP,
19,Wing Lung bank,Bank,"phone, online",1000,1000.0,128.5,0.0945268929,-0.1347,100.0,9.4527,10.0,9.8653341997,98.6533419966,,1001.3467,94.5269,2021-11-02 17:27:07,Bank Account,Bank Account,0.09439976869699307,2021-11-02 17:26:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
20,Wirebarley Australia Pty Ltd,Payment company,,1000,1000.0,128.5,0.0931308,1.3745,20.0,1.8626,2.0,3.3745163853,33.7451638531,,986.2548,93.1308,2021-11-02 17:37:11,Bank Account,Bank Account,0.09442873848288978,2021-11-02 17:36:52,Not specified,"{'pay_in_method': 'Bank Transfer (Deposit)', 'pay_out_method': 'Bank Deposit', 'location_from': '', 'location_to': ''}",GB,GBP,
21,Wise,Payment company,online,1000,967.40637,128.5,0.0944426,0.0,32.59363,3.0782,3.3691766987,3.2593808327,32.5938025144,,967.4062,91.3644,2021-11-02 16:59:32,Credit Card,Bank Account,0.09444261684164536,2021-11-02 16:58:52,Not specified,"{'pay_in_method': 'CREDIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
22,Wise,Payment company,online,1000,967.40637,128.5,0.0944426,0.0,32.59363,3.0782,3.3691766987,3.2593808327,32.5938025144,,967.4062,91.3644,2021-11-02 16:59:32,Debit Card,Bank Account,0.09444261684164536,2021-11-02 16:58:52,Not specified,"{'pay_in_method': 'DEBIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
23,Wise,Payment company,online,1000,993.67876,128.5,0.0944426,0.0,6.32124,0.597,0.6361452267,0.6321418327,6.3214171995,,993.6786,93.8456,2021-11-02 16:59:23,Bank Account,Bank Account,0.09444261684164536,2021-11-02 16:58:52,Not specified,"{'pay_in_method': 'REGULAR', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
24,WorldRemit,Payment company,online,1000,1000.0,128.5,0.09238,2.172,25.0,2.3095,2.5,4.671950652,46.7195065196,Next working day,978.2805,92.38,2021-11-02 16:56:49,Debit Card,Bank Account,0.09443099460292984,2021-11-02 16:55:52,Not specified,"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'Any GBP account at any bank WOR / BNK', 'location_from': '', 'location_to': ''}",GB,GBP,
25,WorldRemit,Payment company,online,1000,1000.0,128.5,0.09238,2.172,25.0,2.3095,2.5,4.671950652,46.7195065196,Next working day,978.2805,92.38,2021-11-02 16:56:49,Credit Card,Bank Account,0.09443099460292984,2021-11-02 16:55:52,Not specified,"{'pay_in_method': 'Debit / Credit Card_Credit Card', 'pay_out_method': 'Any GBP account at any bank WOR / BNK', 'location_from': '', 'location_to': ''}",GB,GBP,
