rnamer"provider_type"r"transfer_methods"rsend_amountr"conversion_amount"rsend_amount_usdr"fx_rate"r"fx_margin"r"fee_from_currency"r"fee_to_currency"r"fee_margin"r"total_margin"rtotal_costr"transfer_speed"r"received_amount_from_currency"r"received_amount_to_currency"rcollected_timestamprpay_in_methodrpay_out_methodr"mid-market_rate"r"mid-market_rate_timestamp"r"customer_price_type"r"source_data"r"to_country"r"to_currency"rstatus
0rBank of East Asia HKrPayment companyrphone, onliner5000r5000.0r642.18r0.0938526513r0.1936r100.0r9.3853r2.0r2.193628578r109.6814288982rr4990.3186r469.2633r2021-11-03 15:38:07rBank AccountrBank Accountr0.09403472944682054r2021-11-03 15:37:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
1r"China Construction Bank"rPayment companyrphone, onliner5000r5000.0r642.18r0.0939319932r0.1146r100.0r9.3932r2.0r2.1145506943r105.7275347151rr4994.2725r469.66r2021-11-03 15:22:34rBank AccountrBank Accountr0.09403971638493552r2021-11-03 15:21:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
2rChong Hing BankrBankrphone, onliner5000r5000.0r642.18r0.093998214r0.0133r110.0r10.3398r2.2r2.2133216042r110.6660802085rr4999.3339r469.9911r2021-11-03 15:29:00rBank AccountrBank Accountr0.09401073777229757r2021-11-03 15:28:51rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
3rCITIC BankrPayment companyrphone, onliner5000r5000.0r642.18r0.0936364658r0.4708r100.0r9.3636r2.0r2.4708316262r123.5415813117rr4976.4584r468.1823r2021-11-03 15:05:21rBank AccountrBank Accountr0.09407942145522508r2021-11-03 15:04:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
4rDBS Hong KongrPayment companyrphone, onliner5000r5000.0r642.18r0.0935173755r0.543r100.0r9.3517r2.0r2.5430018532r127.1500926579rr4972.8499r467.5869r2021-11-03 15:28:41rBank AccountrBank Accountr0.09402794903411427r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
5rFubon Bank (Hong Kong)rPayment companyrphone, onliner5000r5000.0r642.18r0.0939337579r0.1074r100.0r9.3934r2.0r2.1073768527r105.3688426337rr4994.6312r469.6688r2021-11-03 15:38:08rBank AccountrBank Accountr0.09403472944682054r2021-11-03 15:37:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
6rHang Seng BankrPayment companyrphone, onliner5000r5000.0r642.18r0.0935366196r0.5225r65.0r6.0799r1.3r1.8225355361r91.1267768038rr4973.8732r467.6831r2021-11-03 15:28:07rBank AccountrBank Accountr0.09402794903411427r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
7rHSBC Hong KongrPayment companyrphone, onliner5000r5000.0r642.18r0.0933619643r0.7083r50.0r4.6681r1.0r1.7082837659r85.4141882933rr4964.5858r466.8098r2021-11-03 15:28:11rBank AccountrBank Accountr0.09402794903411427r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
8rInstaReMrPayment companyronliner5000r4882.5r642.18r0.0939r0.1287r117.5r11.0333r2.4065540195r2.4786804783r123.7828243547rr4876.2172r458.4668r2021-11-03 15:36:43r"Debit Card"rBank Accountr0.09402098665536418r2021-11-03 15:35:52rNot specifiedr"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
9rInstaReMrPayment companyronliner5000r4982.5r642.18r0.0939r0.1287r17.5r1.6433r0.3512293026r0.4786804783r23.9115048331rr4976.0885r467.8568r2021-11-03 15:36:43rBank AccountrBank Accountr0.09402098665536418r2021-11-03 15:35:52rNot specifiedr"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rGBrGBPr
