rnamer"provider_type"r"transfer_methods"rsend_amountr"conversion_amount"rsend_amount_usdr"fx_rate"r"fx_margin"r"fee_from_currency"r"fee_to_currency"r"fee_margin"r"total_margin"rtotal_costr"transfer_speed"r"received_amount_from_currency"r"received_amount_to_currency"rcollected_timestamprpay_in_methodrpay_out_methodr"mid-market_rate"r"mid-market_rate_timestamp"r"customer_price_type"r"source_data"r"to_country"r"to_currency"rstatus
0rBank of East Asia HKrPayment companyrphone, onliner100000r100000r12843.57r0.819000819r0.4674r100r81.9001r0.1r0.567354343r567.354343045rr99532.6457r81900.0819r2021-11-03 15:38:07rBank AccountrBank Accountr0.8228464275164079r2021-11-03 15:37:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rCNrCNYr
1rChong Hing BankrBankrphone, onliner100000r100000r12843.57r0.8161932746r0.8124r110r89.7813r0.11r0.9223753868r922.3753867561rr99187.6246r81619.3275r2021-11-03 15:29:00rBank AccountrBank Accountr0.8228781339909577r2021-11-03 15:28:51rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rCNrCNYr
2rCITIC BankrPayment companyrphone, onliner100000r100000r12843.57r0.8165931733r0.7344r100r81.6593r0.1r0.8343766459r834.3766459491rr99265.6234r81659.3173r2021-11-03 15:05:21rBank AccountrBank Accountr0.8226344082568513r2021-11-03 15:05:16rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rCNrCNYr
3rDBS Hong KongrPayment companyrphone, onliner100000r100000r12843.57r0.8181297554r0.5693r100r81.813r0.1r0.6692851582r669.2851582035rr99430.7148r81812.9755r2021-11-03 15:28:41rBank AccountrBank Accountr0.8228139128647761r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rCNrCNYr
4rFubon Bank (Hong Kong)rPayment companyrphone, onliner100000r100000r12843.57r0.8185315544r0.5244r100r81.8532r0.1r0.6243837709r624.3837708586rr99475.6162r81853.1554r2021-11-03 15:38:08rBank AccountrBank Accountr0.8228464275164079r2021-11-03 15:37:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rCNrCNYr
5rHang Seng BankrPayment companyrphone, onliner100000r100000r12843.57r0.8170602173r0.6993r65r53.1089r0.065r0.7642705686r764.2705685695rr99300.7294r81706.0217r2021-11-03 15:28:07rBank AccountrBank Accountr0.8228139128647761r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rCNrCNYr
6rHSBC Hong KongrPayment companyrphone, onliner100000r100000r12843.57r0.8175277959r0.6424r50r40.8764r0.05r0.692443794r692.443794042rr99357.5562r81752.7796r2021-11-03 15:28:11rBank AccountrBank Accountr0.8228139128647761r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rCNrCNYr
7rInstaReMrPayment companyronliner100000r99250r12843.57r0.822r0.1029r750r616.5r0.7556675063r0.8528657946r852.0943011894rr99147.9057r81583.5r2021-11-03 15:36:43rBank AccountrBank Accountr0.8228464275164079r2021-11-03 15:35:52rNot specifiedr"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rCNrCNYr
8r"MoneyGram"rPayment companyronliner100000r100000r12843.57r0.7960353686r3.137r270r214.9295r0.27r3.4070193668r3407.0193667751rr96862.9806r79603.5369r2021-11-03 10:12:53rCashrBank Accountr0.8218158922697368r2021-11-03 10:12:52rNot specifiedr"{'pay_in_method': 'cash', 'pay_out_method': 'All Other Banks', 'location_from': '', 'location_to': ''}"rCNrCNYr
9rOCBC Wing Hang Bank Hong KongrPayment companyrphone, onliner100000r100000r12843.57r0.8203445447r0.3115r115r94.3396r0.115r0.4264594636r426.459463564rr99688.5405r82034.4545r2021-11-03 15:21:09rBank AccountrBank Accountr0.8229075682063403r2021-11-03 15:20:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rCNrCNYr
