rnamer"provider_type"r"transfer_methods"rsend_amountr"conversion_amount"rsend_amount_usdr"fx_rate"r"fx_margin"r"fee_from_currency"r"fee_to_currency"r"fee_margin"r"total_margin"rtotal_costr"transfer_speed"r"received_amount_from_currency"r"received_amount_to_currency"rcollected_timestamprpay_in_methodrpay_out_methodr"mid-market_rate"r"mid-market_rate_timestamp"r"customer_price_type"r"source_data"r"to_country"r"to_currency"rstatus
0rBank of East Asia HKrPayment companyrphone, onliner100000r100000.0r12843.57r0.1727712509r0.405r100.0r17.2771r0.1r0.5050137267r505.0137266576rr99594.9863r17277.1251r2021-11-03 15:38:07rBank AccountrBank Accountr0.17347384374317676r2021-11-03 15:37:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rSGrSGDr
1r"China Construction Bank"rPayment companyrphone, onliner100000r100000.0r12843.57r0.1731032215r0.2152r100.0r17.3103r0.1r0.3152308585r315.2308585432rr99784.7691r17310.3221r2021-11-03 15:22:34rBank AccountrBank Accountr0.1734765966192262r2021-11-03 15:21:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rSGrSGDr
2rChong Hing BankrBankrphone, onliner100000r100000.0r12843.57r0.1727891627r0.3764r110.0r19.0068r0.11r0.4863983534r486.3983534165rr99623.6016r17278.9163r2021-11-03 15:29:00rBank AccountrBank Accountr0.1734419954788327r2021-11-03 15:28:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rSGrSGDr
3rCITIC BankrPayment companyrphone, onliner100000r100000.0r12843.57r0.1726847295r0.4731r100.0r17.2685r0.1r0.5731257959r573.1257959482rr99526.8742r17268.4729r2021-11-03 15:05:21rBank AccountrBank Accountr0.1735056293793874r2021-11-03 15:04:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rSGrSGDr
4rDBS Hong KongrPayment companyrphone, onliner100000r100000.0r12843.57r0.1727593117r0.4157r100.0r17.2759r0.1r0.5157333594r515.7333594218rr99584.2666r17275.9312r2021-11-03 15:28:41rBank AccountrBank Accountr0.1734805281545417r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rSGrSGDr
5rFubon Bank (Hong Kong)rPayment companyrphone, onliner100000r100000.0r12843.57r0.1727384222r0.4239r100.0r17.2738r0.1r0.5239379955r523.9379955251rr99576.062r17273.8422r2021-11-03 15:38:08rBank AccountrBank Accountr0.17347384374317676r2021-11-03 15:37:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rSGrSGDr
6rHang Seng BankrPayment companyrphone, onliner100000r100000.0r12843.57r0.172860847r0.3572r65.0r11.236r0.065r0.4222050091r422.2050091059rr99642.795r17286.0847r2021-11-03 15:28:07rBank AccountrBank Accountr0.1734805281545417r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rSGrSGDr
7rHSBC Hong KongrPayment companyrphone, onliner100000r100000.0r12843.57r0.1722029929r0.7364r50.0r8.6101r0.05r0.7864142132r786.4142132351rr99263.5858r17220.2993r2021-11-03 15:28:11rBank AccountrBank Accountr0.1734805281545417r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rSGrSGDr
8rInstaReMrPayment companyronliner100000r99550.0r12843.57r0.1733r0.0928r450.0r77.985r0.4520341537r0.54281626r542.398586872rr99457.6014r17252.015r2021-11-03 15:36:46rBank AccountrBank Accountr0.17346100001284373r2021-11-03 15:35:52rNot specifiedr"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rSGrSGDr
9rOCBC Wing Hang Bank Hong KongrPayment companyrphone, onliner100000r100000.0r12843.57r0.1729206294r0.3279r115.0r19.8859r0.115r0.4428655279r442.8655279361rr99672.1345r17292.0629r2021-11-03 15:21:09rBank AccountrBank Accountr0.17348944150439294r2021-11-03 15:20:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rSGrSGDr
