rnamer"provider_type"r"transfer_methods"rsend_amountr"conversion_amount"rsend_amount_usdr"fx_rate"r"fx_margin"r"fee_from_currency"r"fee_to_currency"r"fee_margin"r"total_margin"rtotal_costr"transfer_speed"r"received_amount_from_currency"r"received_amount_to_currency"rcollected_timestamprpay_in_methodrpay_out_methodr"mid-market_rate"r"mid-market_rate_timestamp"r"customer_price_type"r"source_data"r"to_country"r"to_currency"rstatus
0rBank of East Asia HKrPayment companyrphone, onliner10000r10000.0r1284.36r0.1106684374r0.2119r100.0r11.0668r1.0r1.2118876163r121.1887616295rr9978.8112r1106.6844r2021-11-03 15:38:07rBank AccountrBank Accountr0.11090342799162589r2021-11-03 15:37:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
1r"China Construction Bank"rPayment companyrphone, onliner10000r10000.0r1284.36r0.1107591432r0.1563r100.0r11.0759r1.0r1.1563071556r115.6307155615rr9984.3693r1107.5914r2021-11-03 15:22:34rBank AccountrBank Accountr0.11093253866310435r2021-11-03 15:21:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
2rChong Hing BankrBankrphone, onliner10000r10000.0r1284.36r0.1104228089r0.4287r110.0r12.1465r1.1r1.5286703929r152.8670392878rr9957.133r1104.2281r2021-11-03 15:29:00rBank AccountrBank Accountr0.11089819667077683r2021-11-03 15:28:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
3rCITIC BankrPayment companyrphone, onliner10000r10000.0r1284.36r0.1105534305r0.3868r100.0r11.0553r1.0r1.3868047324r138.6804732442rr9961.3195r1105.5343r2021-11-03 15:05:21rBank AccountrBank Accountr0.11098271687400853r2021-11-03 15:04:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
4rDBS Hong KongrPayment companyrphone, onliner10000r10000.0r1284.36r0.1102329222r0.6128r100.0r11.0233r1.0r1.6127889415r161.2788941532rr9938.7211r1102.3292r2021-11-03 15:28:41rBank AccountrBank Accountr0.11091258220304151r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
5rFubon Bank (Hong Kong)rPayment companyrphone, onliner10000r10000.0r1284.36r0.1107149975r0.1699r100.0r11.0715r1.0r1.169905062r116.9905061983rr9983.0095r1107.15r2021-11-03 15:38:08rBank AccountrBank Accountr0.11090342799162589r2021-11-03 15:37:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
6rHang Seng BankrPayment companyrphone, onliner10000r10000.0r1284.36r0.1103022281r0.5503r65.0r7.1696r0.65r1.2003019458r120.030194583rr9944.9698r1103.0223r2021-11-03 15:28:07rBank AccountrBank Accountr0.11091258220304151r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
7rHSBC Hong KongrPayment companyrphone, onliner10000r10000.0r1284.36r0.1100909351r0.7408r50.0r5.5045r0.5r1.2408060243r124.0806024275rr9925.9194r1100.9094r2021-11-03 15:28:11rBank AccountrBank Accountr0.11091258220304151r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
8rInstaReMrPayment companyronliner10000r9760.0r1284.36r0.1108r0.089r240.0r26.592r2.4590163934r2.4889783495r248.6842869155rr9751.3157r1081.408r2021-11-03 15:36:43r"Debit Card"rBank Accountr0.11089867581140267r2021-11-03 15:35:52rNot specifiedr"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
9rInstaReMrPayment companyronliner10000r9960.0r1284.36r0.1108r0.089r40.0r4.432r0.4016064257r0.4889783495r48.8622436145rr9951.1378r1103.568r2021-11-03 15:36:43rBank AccountrBank Accountr0.11089867581140267r2021-11-03 15:35:52rNot specifiedr"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
10r"MoneyGram"rPayment companyronliner10000r10000.0r1284.36r0.109856r0.8488r8.0r0.8788r0.08r0.9288117854r92.8811785419rr9915.1188r1098.56r2021-11-03 09:39:55r"Debit Card"rBank Accountr0.11079645335389361r2021-11-03 09:39:52rNot specifiedr"{'pay_in_method': 'debitCard', 'pay_out_method': 'All Banks', 'location_from': '', 'location_to': ''}"rDErEURr
11r"MoneyGram"rPayment companyronliner10000r10000.0r1284.36r0.109856r0.8488r8.0r0.8788r0.08r0.9288117854r92.8811785419rr9915.1188r1098.56r2021-11-03 09:39:55r"Credit Card"rBank Accountr0.11079645335389361r2021-11-03 09:39:52rNot specifiedr"{'pay_in_method': 'creditCardExplicit', 'pay_out_method': 'All Banks', 'location_from': '', 'location_to': ''}"rDErEURr
12rOCBC Wing Hang Bank Hong KongrPayment companyrphone, onliner10000r10000.0r1284.36r0.1106806862r0.227r115.0r12.7283r1.15r1.3770320736r137.7032073623rr9977.2968r1106.8069r2021-11-03 15:21:09rBank AccountrBank Accountr0.11093253866310435r2021-11-03 15:20:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
13rOFXrPayment companyrr10000r10000.0r1284.36r0.1083725r2.2637r60.0r6.5024r0.6r2.8637143844r286.3714384374rr9773.6286r1083.725r2021-11-03 12:44:12rBank AccountrBank Accountr0.11088256456379288r2021-11-03 12:43:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
14rPublic Bank Hong KongrPayment companyrphone, onliner10000r10000.0r1284.36r0.1106806862r0.227r60.0r6.6408r0.6r0.8270320736r82.7032073623rr9977.2968r1106.8069r2021-11-03 15:21:09rBank AccountrBank Accountr0.11093253866310435r2021-11-03 15:20:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
15r"Shanghai Commercial Bank"rPayment companyrphone, onliner10000r10000.0r1284.36r0.1104972376r0.3663r170.0r18.7845r1.7r2.0662559669r206.6255966944rr9963.3744r1104.9724r2021-11-03 15:38:12rBank AccountrBank Accountr0.11090342799162589r2021-11-03 15:37:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
16r"Skrill"rPayment companyrr10000r10000.0r1284.36r0.1078r2.8439r0.0r0.0r0.0r2.8439120851r284.3912085062rup to 1 daysr9715.6088r1078.0r2021-11-03 14:38:00r"Debit Card"rBank Accountr0.11095547619659327r2021-11-03 14:37:52rNot specifiedr"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}"rDErEURr
17r"Skrill"rPayment companyrr10000r10000.0r1284.36r0.1078r2.8439r198.9990990991r21.4521r1.989990991r4.8339030761r483.3903076053rup to 1 daysr9715.6088r1078.0r2021-11-03 14:38:07r"Credit Card"rBank Accountr0.11095547619659327r2021-11-03 14:37:52rNot specifiedr"{'pay_in_method': 'CREDIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}"rDErEURr
