rnamer"provider_type"r"transfer_methods"rsend_amountr"conversion_amount"rsend_amount_usdr"fx_rate"r"fx_margin"r"fee_from_currency"r"fee_to_currency"r"fee_margin"r"total_margin"rtotal_costr"transfer_speed"r"received_amount_from_currency"r"received_amount_to_currency"rcollected_timestamprpay_in_methodrpay_out_methodr"mid-market_rate"r"mid-market_rate_timestamp"r"customer_price_type"r"source_data"r"to_country"r"to_currency"rstatus
0rBank of East Asia HKrPayment companyrphone, onliner100000r100000.0r12843.57r0.1106684374r0.2119r100.0r11.0668r0.1r0.3118876163r311.8876162955rr99788.1124r11066.8437r2021-11-03 15:38:07rBank AccountrBank Accountr0.11090342799162589r2021-11-03 15:37:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
1r"China Construction Bank"rPayment companyrphone, onliner100000r100000.0r12843.57r0.1107591432r0.1563r100.0r11.0759r0.1r0.2563071556r256.3071556151rr99843.6928r11075.9143r2021-11-03 15:22:34rBank AccountrBank Accountr0.11093253866310435r2021-11-03 15:21:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
2rChong Hing BankrBankrphone, onliner100000r100000.0r12843.57r0.1104228089r0.4287r110.0r12.1465r0.11r0.5386703929r538.6703928779rr99571.3296r11042.2809r2021-11-03 15:29:00rBank AccountrBank Accountr0.11089819667077683r2021-11-03 15:28:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
3rCITIC BankrPayment companyrphone, onliner100000r100000.0r12843.57r0.1105534305r0.3868r100.0r11.0553r0.1r0.4868047324r486.8047324416rr99613.1953r11055.343r2021-11-03 15:05:21rBank AccountrBank Accountr0.11098271687400853r2021-11-03 15:04:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
4rDBS Hong KongrPayment companyrphone, onliner100000r100000.0r12843.57r0.1102329222r0.6128r100.0r11.0233r0.1r0.7127889415r712.788941532rr99387.2111r11023.2922r2021-11-03 15:28:41rBank AccountrBank Accountr0.11091258220304151r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
5rFubon Bank (Hong Kong)rPayment companyrphone, onliner100000r100000.0r12843.57r0.1107149975r0.1699r100.0r11.0715r0.1r0.269905062r269.9050619833rr99830.0949r11071.4997r2021-11-03 15:38:08rBank AccountrBank Accountr0.11090342799162589r2021-11-03 15:37:52rNot specifiedr"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
6rHang Seng BankrPayment companyrphone, onliner100000r100000.0r12843.57r0.1103022281r0.5503r65.0r7.1696r0.065r0.6153019458r615.3019458301rr99449.6981r11030.2228r2021-11-03 15:28:07rBank AccountrBank Accountr0.11091258220304151r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
7rHSBC Hong KongrPayment companyrphone, onliner100000r100000.0r12843.57r0.1100909351r0.7408r50.0r5.5045r0.05r0.7908060243r790.8060242746rr99259.194r11009.0935r2021-11-03 15:28:11rBank AccountrBank Accountr0.11091258220304151r2021-11-03 15:27:52rNot specifiedr"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
8rInstaReMrPayment companyronliner100000r99600.0r12843.57r0.1108r0.089r400.0r44.32r0.4016064257r0.4889783495r488.6224361454rr99511.3776r11035.68r2021-11-03 15:36:43rBank AccountrBank Accountr0.11089867581140267r2021-11-03 15:35:52rNot specifiedr"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
9rOCBC Wing Hang Bank Hong KongrPayment companyrphone, onliner100000r100000.0r12843.57r0.1106806862r0.227r115.0r12.7283r0.115r0.3420320736r342.0320736233rr99772.9679r11068.0686r2021-11-03 15:21:09rBank AccountrBank Accountr0.11093253866310435r2021-11-03 15:20:52rNot specifiedr"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}"rDErEURr
