,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",100000,100000.0,12844.23,0.1283202874,0.0937,100.0,12.832,0.1,0.1936738098,193.6738098293,,99906.3262,12832.0287,2021-11-03 15:53:06,Bank Account,Bank Account,0.1284406026433076,2021-11-03 15:53:06,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
1,China Construction Bank,Payment company,"phone, online",100000,100000.0,12844.23,0.1283202874,0.0937,100.0,12.832,0.1,0.1936738098,193.6738098293,,99906.3262,12832.0287,2021-11-03 15:53:54,Bank Account,Bank Account,0.1284406026433076,2021-11-03 15:53:54,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
2,Chong Hing Bank,Bank,"phone, online",100000,100000.0,12844.23,0.1282462328,0.15,110.0,14.1071,0.11,0.2600480923,260.0480923373,,99849.9519,12824.6233,2021-11-03 15:45:26,Bank Account,Bank Account,0.1284389529656554,2021-11-03 15:45:26,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
3,CITIC Bank,Payment company,"phone, online",100000,100000.0,12844.23,0.1281878721,0.1968,100.0,12.8188,0.1,0.2967683837,296.7683837432,,99803.2316,12818.7872,2021-11-03 15:50:12,Bank Account,Bank Account,0.1284406026433076,2021-11-03 15:50:12,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
4,DBS Hong Kong,Payment company,"phone, online",100000,100000.0,12844.23,0.1280458916,0.3214,100.0,12.8046,0.1,0.421395188,421.3951880354,,99678.6048,12804.5892,2021-11-03 16:00:39,Bank Account,Bank Account,0.12845875189476658,2021-11-03 16:00:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",100000,100000.0,12844.23,0.1283268742,0.0885,100.0,12.8327,0.1,0.1885455432,188.5455432077,,99911.4545,12832.6874,2021-11-03 15:53:08,Bank Account,Bank Account,0.1284406026433076,2021-11-03 15:53:08,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
6,Hang Seng Bank,Payment company,"phone, online",100000,100000.0,12844.23,0.1281558375,0.2307,65.0,8.3301,0.065,0.2956805075,295.6805074971,,99769.3195,12815.5837,2021-11-03 15:58:07,Bank Account,Bank Account,0.12845215157353884,2021-11-03 15:58:07,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
7,HSBC Hong Kong,Payment company,"phone, online",100000,100000.0,12844.23,0.1279328608,0.4043,50.0,6.3966,0.05,0.4542678402,454.2678402374,,99595.7322,12793.2861,2021-11-03 15:58:09,Bank Account,Bank Account,0.12845215157353884,2021-11-03 15:58:09,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
8,InstaReM,Payment company,online,100000,99550.0,12844.23,0.1283,0.1095,450.0,57.735,0.4520341537,0.559469,558.9763895,,99441.0236,12772.265,2021-11-03 15:51:47,Bank Account,Bank Account,0.1284406026433076,2021-11-03 15:51:47,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",100000,100000.0,12844.23,0.1282873637,0.1193,115.0,14.753,0.115,0.2343072482,234.307248236,,99880.6928,12828.7364,2021-11-03 15:51:09,Bank Account,Bank Account,0.1284406026433076,2021-11-03 15:51:09,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
