,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",100000,100000.0,12844.23,0.1727712509,0.3928,100.0,17.2771,0.1,0.4928225517,492.8225516883,,99607.1774,17277.1251,2021-11-03 15:53:06,Bank Account,Bank Account,0.17345261183965474,2021-11-03 15:52:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
1,China Construction Bank,Payment company,"phone, online",100000,100000.0,12844.23,0.1730253482,0.2389,100.0,17.3025,0.1,0.3389414903,338.941490284,,99761.0585,17302.5348,2021-11-03 15:53:54,Bank Account,Bank Account,0.1734397677793904,2021-11-03 15:53:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
2,Chong Hing Bank,Bank,"phone, online",100000,100000.0,12844.23,0.1727891627,0.4107,110.0,19.0068,0.11,0.5207145377,520.7145377226,,99589.2855,17278.9163,2021-11-03 15:45:26,Bank Account,Bank Account,0.17350175961365563,2021-11-03 15:44:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
3,CITIC Bank,Payment company,"phone, online",100000,100000.0,12844.23,0.1726698208,0.4587,100.0,17.267,0.1,0.5586706483,558.6706483233,,99541.3294,17266.9821,2021-11-03 15:50:12,Bank Account,Bank Account,0.17346545589991907,2021-11-03 15:49:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
4,DBS Hong Kong,Payment company,"phone, online",100000,100000.0,12844.23,0.1727145547,0.4396,100.0,17.2715,0.1,0.5395777577,539.5777576832,,99560.4222,17271.4555,2021-11-03 16:00:39,Bank Account,Bank Account,0.17347712149628752,2021-11-03 15:59:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",100000,100000.0,12844.23,0.1727384222,0.4117,100.0,17.2738,0.1,0.511749137,511.7491370285,,99588.2509,17273.8422,2021-11-03 15:53:08,Bank Account,Bank Account,0.17345261183965474,2021-11-03 15:52:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
6,Hang Seng Bank,Payment company,"phone, online",100000,100000.0,12844.23,0.1728309713,0.36,65.0,11.234,0.065,0.4249724776,424.9724775941,,99640.0275,17283.0971,2021-11-03 15:58:07,Bank Account,Bank Account,0.17345536287732818,2021-11-03 15:57:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
7,HSBC Hong Kong,Payment company,"phone, online",100000,100000.0,12844.23,0.1722029929,0.722,50.0,8.6101,0.05,0.7720128387,772.0128386561,,99277.9872,17220.2993,2021-11-03 15:58:09,Bank Account,Bank Account,0.17345536287732818,2021-11-03 15:57:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
8,InstaReM,Payment company,online,100000,99550.0,12844.23,0.1732,0.1604,450.0,77.94,0.4520341537,0.6104234998,609.7015940473,,99390.2984,17242.06,2021-11-03 15:51:46,Bank Account,Bank Account,0.1734782999601834,2021-11-03 15:50:52,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",100000,100000.0,12844.23,0.1728907331,0.3387,115.0,19.8824,0.115,0.4536976375,453.6976374625,,99661.3024,17289.0733,2021-11-03 15:51:09,Bank Account,Bank Account,0.1734782999601834,2021-11-03 15:50:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
10,OFX,Payment company,,100000,100000.0,12844.23,0.17058225,1.6161,0.0,0.0,0.0,1.6160916114,1616.0916113973,,98383.9084,17058.225,2021-11-03 12:37:33,Bank Account,Bank Account,0.1733842991134524,2021-11-03 12:36:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
11,Public Bank Hong Kong,Payment company,"phone, online",100000,100000.0,12844.23,0.1728997009,0.3335,60.0,10.374,0.06,0.3935282147,393.5282146521,,99666.4718,17289.9701,2021-11-03 15:51:08,Bank Account,Bank Account,0.1734782999601834,2021-11-03 15:50:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
12,Shanghai Commercial Bank,Payment company,"phone, online",100000,100000.0,12844.23,0.1721763085,0.7358,170.0,29.27,0.17,0.905822474,905.8224740309,,99264.1775,17217.6309,2021-11-03 15:53:12,Bank Account,Bank Account,0.17345261183965474,2021-11-03 15:52:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
