,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",5000,5000.0,642.34,0.1732201628,0.1314,100.0,17.322,2.0,2.1313685138,106.5684256884,,4993.4316,866.1008,2021-11-05 16:23:06,Bank Account,Bank Account,0.17344801891155764,2021-11-05 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
1,China Construction Bank,Payment company,"phone, online",5000,5000.0,642.34,0.173028342,0.2314,100.0,17.3028,2.0,2.2313670723,111.568353617,,4988.4316,865.1417,2021-11-05 16:03:07,Bank Account,Bank Account,0.1734296010329079,2021-11-05 16:02:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
2,Chong Hing Bank,Bank,"phone, online",5000,5000.0,642.34,0.173241169,0.1392,110.0,19.0565,2.2,2.3391840914,116.9592045723,,4993.0408,866.2058,2021-11-05 16:17:50,Bank Account,Bank Account,0.17348262925274952,2021-11-05 16:16:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
3,CITIC Bank,Payment company,"phone, online",5000,5000.0,642.34,0.1726608768,0.4589,100.0,17.2661,2.0,2.4589358845,122.946794225,,4977.0532,863.3044,2021-11-05 16:21:37,Bank Account,Bank Account,0.1734569328810772,2021-11-05 16:20:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
4,DBS Hong Kong,Payment company,"phone, online",5000,5000.0,642.34,0.1726429916,0.4738,100.0,17.2643,2.0,2.4737606898,123.6880344914,,4976.312,863.215,2021-11-05 16:12:38,Bank Account,Bank Account,0.1734647995889003,2021-11-05 16:11:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",5000,5000.0,642.34,0.1730193609,0.2471,100.0,17.3019,2.0,2.2471391993,112.3569599632,,4987.643,865.0968,2021-11-05 16:23:08,Bank Account,Bank Account,0.17344801891155764,2021-11-05 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
6,Hang Seng Bank,Payment company,"phone, online",5000,5000.0,642.34,0.1728011059,0.3848,65.0,11.2321,1.3,1.6848307442,84.2415372109,,4980.7585,864.0055,2021-11-05 16:13:08,Bank Account,Bank Account,0.17346866668808017,2021-11-05 16:12:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
7,HSBC Hong Kong,Payment company,"phone, online",5000,5000.0,642.34,0.1721288901,0.7803,50.0,8.6064,1.0,1.780331233,89.0165616484,,4960.9834,860.6445,2021-11-05 16:14:58,Bank Account,Bank Account,0.17348262925274952,2021-11-05 16:14:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
8,InstaReM,Payment company,online,5000,4977.5,642.34,0.1732,0.1481,22.5,3.897,0.4520341537,0.5981248843,29.8729161142,,4970.1271,862.103,2021-11-05 16:21:51,Bank Account,Bank Account,0.1734569328810772,2021-11-05 16:20:52,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
9,InstaReM,Payment company,online,5000,4877.5,642.34,0.1732,0.1481,122.5,21.217,2.5115325474,2.5981248843,129.72479123,,4870.2752,844.783,2021-11-05 16:21:52,Debit Card,Bank Account,0.1734569328810772,2021-11-05 16:21:52,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",SG,SGD,
