,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",100,100.0,12.85,0.1111111111,0.0845,100.0,11.1111,100.0,100.0845166173,100.0845166173,,99.9155,11.1111,2021-11-05 16:23:06,Bank Account,Bank Account,0.11120509789814483,2021-11-05 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
1,China Construction Bank,Payment company,"phone, online",100,100.0,12.85,0.1109705484,0.1948,100.0,11.0971,100.0,100.1947968614,100.1947968614,,99.8052,11.0971,2021-11-05 16:03:07,Bank Account,Bank Account,0.11118713747053194,2021-11-05 16:02:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
2,Chong Hing Bank,Bank,"phone, online",100,100.0,12.85,0.1108684324,0.3294,110.0,12.1955,110.0,110.3293992353,110.3293992353,,99.6706,11.0868,2021-11-05 16:17:50,Bank Account,Bank Account,0.11123483914071333,2021-11-05 16:16:51,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
3,CITIC Bank,Payment company,"phone, online",100,100.0,12.85,0.1107885932,0.3797,100.0,11.0789,100.0,100.3796571711,100.3796571711,,99.6203,11.0789,2021-11-05 16:21:37,Bank Account,Bank Account,0.11121081303319971,2021-11-05 16:20:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
4,DBS Hong Kong,Payment company,"phone, online",100,100.0,12.85,0.1104252476,0.7262,100.0,11.0425,100.0,100.7262181215,100.7262181215,,99.2738,11.0425,2021-11-05 16:12:38,Bank Account,Bank Account,0.1112330421377184,2021-11-05 16:11:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",100,100.0,12.85,0.1109545419,0.2253,100.0,11.0955,100.0,100.2253097913,100.2253097913,,99.7747,11.0955,2021-11-05 16:23:08,Bank Account,Bank Account,0.11120509789814483,2021-11-05 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
6,Hang Seng Bank,Payment company,"phone, online",100,100.0,12.85,0.1105338786,0.6167,65.0,7.1847,65.0,65.6166675858,65.6166675858,,99.3833,11.0534,2021-11-05 16:13:08,Bank Account,Bank Account,0.11121973468666688,2021-11-05 16:12:51,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
7,HSBC Hong Kong,Payment company,"phone, online",100,100.0,12.85,0.110314396,0.8318,50.0,5.5157,50.0,50.8318300429,50.8318300429,,99.1682,11.0314,2021-11-05 16:14:58,Bank Account,Bank Account,0.11123972145133108,2021-11-05 16:14:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
8,InstaReM,Payment company,online,100,98.0,12.85,0.1111,0.0996,2.0,0.2222,2.0408163265,2.0996423191,2.0976494727,,97.9024,10.8878,2021-11-05 16:21:49,Debit Card,Bank Account,0.11121081303319971,2021-11-05 16:20:52,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
9,InstaReM,Payment company,online,100,96.01,12.85,0.1111,0.0996,3.99,0.4433,4.1558171024,4.0896423191,4.0856665906,,95.9143,10.6667,2021-11-05 16:21:49,Bank Account,Bank Account,0.11121081303319971,2021-11-05 16:20:52,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
10,MoneyGram,Payment company,online,100,100.0,12.85,0.110097,0.9793,8.0,0.8808,8.0,8.9792854386,8.9792854386,,99.0207,11.0097,2021-11-05 08:46:40,Debit Card,Bank Account,0.11118582660979497,2021-11-05 08:45:52,Not specified,"{'pay_in_method': 'debitCard', 'pay_out_method': 'All Banks', 'location_from': '', 'location_to': ''}",DE,EUR,
11,MoneyGram,Payment company,online,100,100.0,12.85,0.1079762421,2.9085,97.0,10.4737,97.0,99.9085040069,99.9085040069,,97.0915,10.7976,2021-11-05 16:21:13,Cash,Bank Account,0.11121081303319971,2021-11-05 16:20:52,Not specified,"{'pay_in_method': 'cash', 'pay_out_method': 'All Banks', 'location_from': '', 'location_to': ''}",DE,EUR,
12,MoneyGram,Payment company,online,100,100.0,12.85,0.110097,0.9793,8.0,0.8808,8.0,8.9792854386,8.9792854386,,99.0207,11.0097,2021-11-05 08:46:40,Credit Card,Bank Account,0.11118582660979497,2021-11-05 08:45:52,Not specified,"{'pay_in_method': 'creditCardExplicit', 'pay_out_method': 'All Banks', 'location_from': '', 'location_to': ''}",DE,EUR,
13,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",100,100.0,12.85,0.1109262341,0.2559,115.0,12.7565,115.0,115.2558914651,115.2558914651,,99.7441,11.0926,2021-11-05 16:21:09,Bank Account,Bank Account,0.11121081303319971,2021-11-05 16:20:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
14,Public Bank Hong Kong,Payment company,"phone, online",100,100.0,12.85,0.1110013431,0.1884,60.0,6.6601,60.0,60.188353912,60.188353912,,99.8116,11.1001,2021-11-05 16:21:08,Bank Account,Bank Account,0.11121081303319971,2021-11-05 16:20:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
15,Shanghai Commercial Bank,Payment company,"phone, online",100,100.0,12.85,0.1107665042,0.3931,170.0,18.8303,170.0,170.3931210185,170.3931210185,,99.6069,11.0767,2021-11-05 16:24:33,Bank Account,Bank Account,0.1112036692061616,2021-11-05 16:23:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
16,Skrill,Payment company,,100,100.0,12.85,0.108,2.9124,0.0,0.0,0.0,2.9123782486,2.9123782486,up to 1 days,97.0876,10.8,2021-11-05 16:15:05,Debit Card,Bank Account,0.11123972145133108,2021-11-05 16:14:52,Not specified,"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}",DE,EUR,
17,Skrill,Payment company,,100,100.0,12.85,0.108,2.9124,1.9900900901,0.2149,1.9900900901,4.9024683387,4.9024683387,up to 1 days,97.0876,10.8,2021-11-05 16:15:04,Credit Card,Bank Account,0.11123972145133108,2021-11-05 16:14:52,Not specified,"{'pay_in_method': 'CREDIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}",DE,EUR,
18,Western Union,Payment company,"phone, online",100,100.0,12.85,0.1098499,1.4329,15.0,1.6477,15.0,16.4329097812,16.4329097812,1 Business days,98.5671,10.985,2021-11-05 14:48:35,Debit Card,Bank Account,0.11144683256465268,2021-11-05 14:47:52,Not specified,"{'pay_in_method': 'DebitCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",DE,EUR,
19,Western Union,Payment company,"phone, online",100,100.0,12.85,0.1099612,1.333,0.0,0.0,0.0,1.3330415324,1.3330415324,1 Business days,98.667,10.9961,2021-11-05 14:48:35,Bank Account,Bank Account,0.11144683256465268,2021-11-05 14:47:52,Not specified,"{'pay_in_method': 'WUPay', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",DE,EUR,
20,Western Union,Payment company,"phone, online",100,100.0,12.85,0.1098499,1.4329,15.0,1.6477,15.0,16.4329097812,16.4329097812,1 Business days,98.5671,10.985,2021-11-05 14:48:35,Credit Card,Bank Account,0.11144683256465268,2021-11-05 14:47:52,Not specified,"{'pay_in_method': 'CreditCard', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",DE,EUR,
21,Western Union,Payment company,"phone, online",100,100.0,12.85,0.1099612,1.333,0.0,0.0,0.0,1.3330415324,1.3330415324,1 Business days,98.667,10.9961,2021-11-05 14:48:35,Mobile Wallet,Bank Account,0.11144683256465268,2021-11-05 14:47:52,Not specified,"{'pay_in_method': 'TapNGo', 'pay_out_method': 'BA', 'location_from': '', 'location_to': ''}",DE,EUR,
22,Wing Lung bank,Bank,"phone, online",100,100.0,12.85,0.1113709767,-0.124,100.0,11.1371,100.0,99.8759949534,99.8759949534,,100.124,11.1371,2021-11-05 16:12:08,Bank Account,Bank Account,0.1112330421377184,2021-11-05 16:11:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
23,Wirebarley Australia Pty Ltd,Payment company,,100,100.0,12.85,0.1097237,1.3372,20.0,2.1945,20.0,21.3372018355,21.3372018355,,98.6628,10.9724,2021-11-05 16:22:32,Bank Account,Bank Account,0.11121081303319971,2021-11-05 16:21:52,Not specified,"{'pay_in_method': 'Bank Transfer (Deposit)', 'pay_out_method': 'Bank Deposit', 'location_from': '', 'location_to': ''}",DE,EUR,
24,Wise,Payment company,online,100,95.70965,12.85,0.1111975,-0.0015,4.29035,0.4771,4.4826723324,4.2888452209,4.2889097811,,95.7111,10.6427,2021-11-05 15:59:23,Credit Card,Bank Account,0.11119582674838428,2021-11-05 15:58:52,Not specified,"{'pay_in_method': 'CREDIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
25,Wise,Payment company,online,100,98.33976,12.85,0.111192,0.0034,1.66024,0.1846,1.6882693226,1.6636814496,1.6636243133,,98.3364,10.9346,2021-11-05 15:59:12,Bank Account,Bank Account,0.11119582674838428,2021-11-05 15:58:52,Not specified,"{'pay_in_method': 'REGULAR', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
26,Wise,Payment company,online,100,95.70965,12.85,0.1111975,-0.0015,4.29035,0.4771,4.4826723324,4.2888452209,4.2889097811,,95.7111,10.6427,2021-11-05 15:59:23,Debit Card,Bank Account,0.11119582674838428,2021-11-05 15:58:52,Not specified,"{'pay_in_method': 'DEBIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
27,WorldRemit,Payment company,online,100,100.0,12.85,0.10836,2.0748,25.0,2.709,25.0,27.0747972164,27.0747972164,Next working day,97.9252,10.836,2021-10-14 08:52:52,Credit Card,Bank Account,0.11065588522651308,2021-10-14 08:52:26,Not specified,"{'pay_in_method': 'Debit / Credit Card_Credit Card', 'pay_out_method': 'Any EUR account at any bank / BNK', 'location_from': '', 'location_to': ''}",DE,EUR,
28,WorldRemit,Payment company,online,100,100.0,12.85,0.10836,2.0748,25.0,2.709,25.0,27.0747972164,27.0747972164,Next working day,97.9252,10.836,2021-10-14 08:52:52,Debit Card,Bank Account,0.11065588522651308,2021-10-14 08:52:26,Not specified,"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'Any EUR account at any bank / BNK', 'location_from': '', 'location_to': ''}",DE,EUR,
29,Xendpay,Payment company,"phone, online",100,100.0,12.85,0.11062,0.5038,0.0,0.0,0.0,0.5037888855,0.5037888855,,99.4962,11.062,2021-11-05 16:06:45,Bank Account,Bank Account,0.11118011305241522,2021-11-05 16:05:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
30,Xpress Money,Payment company,,100,100.0,12.85,0.10822467,2.7737,50.0,5.4112,50.0,52.7737091144,52.7737091144,,97.2263,10.8225,2021-11-05 15:27:21,Cash,Bank Account,0.11131214511446264,2021-11-05 15:26:52,Not specified,"{'pay_in_method': 'Cash', 'pay_out_method': 'AC', 'location_from': '', 'location_to': ''}",DE,EUR,
