,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",5000,5000.0,642.34,14.57513482,-0.0018,100.0,1457.5135,2.0,1.9982199436,99.9109971824,,5000.089,72875.6741,2021-11-05 16:23:06,Bank Account,Bank Account,14.574875379002004,2021-11-05 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
1,China Construction Bank,Payment company,"phone, online",5000,5000.0,642.34,14.5471473044,0.187,100.0,1454.7147,2.0,2.1870399352,109.3519967623,,4990.648,72735.7365,2021-11-05 16:03:07,Bank Account,Bank Account,14.574407266327073,2021-11-05 16:02:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
2,Chong Hing Bank,Bank,"phone, online",5000,5000.0,642.34,14.57513482,0.0298,110.0,1603.2648,2.2,2.2297956986,111.4897849305,,4998.5102,72875.6741,2021-11-05 16:17:50,Bank Account,Bank Account,14.579478877582485,2021-11-05 16:16:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
3,CITIC Bank,Payment company,"phone, online",5000,5000.0,642.34,14.5137880987,0.4155,100.0,1451.3788,2.0,2.4154665405,120.7733270263,,4979.2267,72568.9405,2021-11-05 16:21:37,Bank Account,Bank Account,14.574339603248022,2021-11-05 16:20:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
4,DBS Hong Kong,Payment company,"phone, online",5000,5000.0,642.34,14.4906535285,0.6165,100.0,1449.0654,2.0,2.6165495699,130.827478495,,4969.1725,72453.2676,2021-11-05 16:12:38,Bank Account,Bank Account,14.580549845837616,2021-11-05 16:11:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",5000,5000.0,642.34,14.5870408729,-0.0835,100.0,1458.7041,2.0,1.9165310607,95.8265530338,,5004.1734,72935.2044,2021-11-05 16:23:08,Bank Account,Bank Account,14.574875379002004,2021-11-05 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
6,Hang Seng Bank,Payment company,"phone, online",5000,5000.0,642.34,14.4885540423,0.6143,65.0,941.756,1.3,1.9142526332,95.7126316581,,4969.2874,72442.7702,2021-11-05 16:13:08,Bank Account,Bank Account,14.57810040792728,2021-11-05 16:12:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
7,HSBC Hong Kong,Payment company,"phone, online",5000,5000.0,642.34,14.4550448106,0.8622,50.0,722.7522,1.0,1.862224285,93.1112142501,,4956.8888,72275.2241,2021-11-05 16:14:58,Bank Account,Bank Account,14.580763696166102,2021-11-05 16:14:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
8,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",5000,5000.0,642.34,14.5412243711,0.2272,115.0,1672.2408,2.3,2.5272160047,126.3608002343,,4988.6392,72706.1219,2021-11-05 16:21:09,Bank Account,Bank Account,14.574339603248022,2021-11-05 16:20:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
9,OFX,Payment company,,5000,5000.0,642.34,14.2251,2.5053,60.0,853.506,1.2,3.7053040634,185.2652031697,,4874.7348,71125.5,2021-11-05 15:08:46,Bank Account,Bank Account,14.590639894143191,2021-11-05 15:07:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
