,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",100000,100000.0,12838.95,0.1282380097,0.1257,100.0,12.8238,0.1,0.2256732496,225.6732495512,,99874.3268,12823.801,2021-11-08 16:23:29,Bank Account,Bank Account,0.12839937341105775,2021-11-08 16:23:29,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
1,China Construction Bank,Payment company,"phone, online",100000,100000.0,12838.95,0.1282791354,0.0936,100.0,12.8279,0.1,0.1936437688,193.643768841,,99906.3562,12827.9135,2021-11-08 16:24:40,Bank Account,Bank Account,0.12839937341105775,2021-11-08 16:24:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
2,Chong Hing Bank,Bank,"phone, online",100000,100000.0,12838.95,0.1281459839,0.1986,110.0,14.0961,0.11,0.3086262751,308.6262750525,,99801.3737,12814.5984,2021-11-08 16:20:17,Bank Account,Bank Account,0.1284010220721357,2021-11-08 16:20:17,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
3,CITIC Bank,Payment company,"phone, online",100000,100000.0,12838.95,0.1281394157,0.1961,100.0,12.8139,0.1,0.296053306,296.0533059969,,99803.9467,12813.9416,2021-11-08 16:36:05,Bank Account,Bank Account,0.12839113074068842,2021-11-08 16:36:05,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
4,DBS Hong Kong,Payment company,"phone, online",100000,100000.0,12838.95,0.1279901704,0.3187,100.0,12.799,0.1,0.4186955242,418.6955241837,,99681.3045,12799.017,2021-11-08 16:24:13,Bank Account,Bank Account,0.12839937341105775,2021-11-08 16:24:13,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",100000,100000.0,12838.95,0.1282939471,0.0821,100.0,12.8294,0.1,0.1821081261,182.1081261386,,99917.8919,12829.3947,2021-11-08 16:23:28,Bank Account,Bank Account,0.12839937341105775,2021-11-08 16:23:28,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
6,Hang Seng Bank,Payment company,"phone, online",100000,100000.0,12838.95,0.1281229981,0.2088,65.0,8.328,0.065,0.2738404869,273.8404868674,,99791.1595,12812.2998,2021-11-08 16:29:13,Bank Account,Bank Account,0.12839113074068842,2021-11-08 16:29:13,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
7,HSBC Hong Kong,Payment company,"phone, online",100000,100000.0,12838.95,0.1278935925,0.3875,50.0,6.3947,0.05,0.4375175854,437.517585369,,99612.4824,12789.3593,2021-11-08 16:29:19,Bank Account,Bank Account,0.12839113074068842,2021-11-08 16:29:19,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
8,InstaReM,Payment company,online,100000,99550.0,12838.95,0.1283,0.0768,450.0,57.735,0.4520341537,0.5267525,526.40711375,,99473.5929,12772.265,2021-11-08 16:22:30,Bank Account,Bank Account,0.12839854909639523,2021-11-08 16:22:30,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",100000,100000.0,12838.95,0.1282544568,0.1122,115.0,14.7493,0.115,0.2272226497,227.2226497371,,99887.7774,12825.4457,2021-11-08 16:22:10,Bank Account,Bank Account,0.12839854909639523,2021-11-08 16:22:10,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
10,OFX,Payment company,,100000,100000.0,12838.95,0.12652275,1.4552,0.0,0.0,0.0,1.4552257075,1455.2257075,,98544.7743,12652.275,2021-11-08 10:29:04,Bank Account,Bank Account,0.12839113074068842,2021-11-08 10:29:04,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
11,Public Bank Hong Kong,Payment company,"phone, online",100000,100000.0,12838.95,0.1282873637,0.0866,60.0,7.6972,0.06,0.1465939705,146.5939704939,,99913.406,12828.7364,2021-11-08 16:22:19,Bank Account,Bank Account,0.12839854909639523,2021-11-08 16:22:19,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
12,Shanghai Commercial Bank,Payment company,"phone, online",100000,100000.0,12838.95,0.1281804781,0.1705,170.0,21.7907,0.17,0.3404800359,340.4800358905,,99829.52,12818.0478,2021-11-08 16:23:51,Bank Account,Bank Account,0.12839937341105775,2021-11-08 16:23:51,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",US,USD,
13,Skrill,Payment company,,100000,100000.0,12838.95,0.1247,2.8749,0.0,0.0,0.0,2.874911,2874.911,up to 1 days,97125.089,12470.0,2021-11-08 15:59:14,Debit Card,Bank Account,0.12839113074068842,2021-11-08 15:59:14,Not specified,"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': ''}",US,USD,
