,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",10000,10000.0,1283.89,0.1106929378,0.1,100.0,11.0693,1.0,1.1000347523,110.003475234,,9989.9965,1106.9294,2021-11-08 16:23:29,Bank Account,Bank Account,0.11080378007755323,2021-11-08 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
1,China Construction Bank,Payment company,"phone, online",10000,10000.0,1283.89,0.1105363222,0.2414,100.0,11.0536,1.0,1.2413797091,124.1379709139,,9975.862,1105.3632,2021-11-08 16:24:40,Bank Account,Bank Account,0.11080378007755323,2021-11-08 16:23:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
2,Chong Hing Bank,Bank,"phone, online",10000,10000.0,1283.89,0.110613351,0.1817,110.0,12.1675,1.1,1.2817028295,128.1702829524,,9981.8297,1106.1335,2021-11-08 16:20:17,Bank Account,Bank Account,0.11081470448504771,2021-11-08 16:19:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
3,CITIC Bank,Payment company,"phone, online",10000,10000.0,1283.89,0.1103764942,0.3663,100.0,11.0376,1.0,1.3662976711,136.629767106,,9963.3702,1103.7649,2021-11-08 16:36:05,Bank Account,Bank Account,0.110782287159603,2021-11-08 16:35:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
4,DBS Hong Kong,Payment company,"phone, online",10000,10000.0,1283.89,0.1101079057,0.628,100.0,11.0108,1.0,1.6280239983,162.8023998309,,9937.1976,1101.0791,2021-11-08 16:24:13,Bank Account,Bank Account,0.11080378007755323,2021-11-08 16:23:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",10000,10000.0,1283.89,0.1108156028,-0.0107,100.0,11.0816,1.0,0.9893300036,98.9330003617,,10001.067,1108.156,2021-11-08 16:23:28,Bank Account,Bank Account,0.11080378007755323,2021-11-08 16:22:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
6,Hang Seng Bank,Payment company,"phone, online",10000,10000.0,1283.89,0.110144289,0.5716,65.0,7.1594,0.65,1.2216390598,122.1639059764,,9942.8361,1101.4429,2021-11-08 16:29:13,Bank Account,Bank Account,0.1107775366877656,2021-11-08 16:28:52,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
7,HSBC Hong Kong,Payment company,"phone, online",10000,10000.0,1283.89,0.1099468956,0.7498,50.0,5.4973,0.5,1.2498280456,124.9828045649,,9925.0172,1099.469,2021-11-08 16:29:19,Bank Account,Bank Account,0.1107775366877656,2021-11-08 16:28:52,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
8,InstaReM,Payment company,online,10000,9760.0,1283.89,0.1107,0.1016,240.0,26.568,2.4590163934,2.5015861447,249.9148077253,,9750.0852,1080.432,2021-11-08 16:22:28,Debit Card,Bank Account,0.11081257021795654,2021-11-08 16:21:52,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
9,InstaReM,Payment company,online,10000,9960.0,1283.89,0.1107,0.1016,40.0,4.428,0.4016064257,0.5015861447,50.1179800147,,9949.882,1102.572,2021-11-08 16:22:28,Bank Account,Bank Account,0.11081257021795654,2021-11-08 16:21:52,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",DE,EUR,
