,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",100000,100000.0,12835.82,14.4696860078,0.1237,100.0,1446.9686,0.1,0.2237182833,223.7182832838,,99876.2817,1446968.6008,2021-11-09 19:53:06,Bank Account,Bank Account,14.487609829984146,2021-11-09 19:52:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
1,China Construction Bank,Payment company,"phone, online",100000,100000.0,12835.82,14.4734556823,0.0977,100.0,1447.3456,0.1,0.1976982944,197.6982944154,,99902.3017,1447345.5682,2021-11-09 19:53:00,Bank Account,Bank Account,14.487609829984146,2021-11-09 19:52:14,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
2,Chong Hing Bank,Bank,"phone, online",100000,100000.0,12835.82,14.438348253,0.3135,110.0,1588.2183,0.11,0.4235284732,423.5284731944,,99686.4715,1443834.8253,2021-11-09 20:00:26,Bank Account,Bank Account,14.48375896129235,2021-11-09 20:00:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
3,CITIC Bank,Payment company,"phone, online",100000,100000.0,12835.82,14.4279324773,0.4106,100.0,1442.7932,0.1,0.5106415976,510.6415976232,,99589.3584,1442793.2477,2021-11-09 19:53:46,Bank Account,Bank Account,14.487423866094177,2021-11-09 19:53:13,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
4,DBS Hong Kong,Payment company,"phone, online",100000,100000.0,12835.82,14.4050705848,0.5521,100.0,1440.5071,0.1,0.652100547,652.1005470225,,99447.8995,1440507.0585,2021-11-09 19:59:44,Bank Account,Bank Account,14.485042584189618,2021-11-09 19:59:12,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",100000,100000.0,12835.82,14.5009498122,-0.0921,100.0,1450.095,0.1,0.0079214419,7.9214419417,,100092.0786,1450094.9812,2021-11-09 19:53:07,Bank Account,Bank Account,14.487609829984146,2021-11-09 19:52:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
6,Hang Seng Bank,Payment company,"phone, online",100000,100000.0,12835.82,14.4071459444,0.5453,65.0,936.4645,0.065,0.6103096123,610.3096122855,,99454.6904,1440714.5944,2021-11-09 19:58:06,Bank Account,Bank Account,14.48614025967358,2021-11-09 19:57:14,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
7,HSBC Hong Kong,Payment company,"phone, online",100000,100000.0,12835.82,14.3719459615,0.7808,50.0,718.5973,0.05,0.8307821209,830.7821209299,,99219.2179,1437194.5961,2021-11-09 19:59:54,Bank Account,Bank Account,14.485042584189618,2021-11-09 19:59:12,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
8,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",100000,100000.0,12835.82,14.4550448106,0.2127,115.0,1662.3302,0.115,0.3277352743,327.7352742505,,99787.2647,1445504.4811,2021-11-09 19:51:08,Bank Account,Bank Account,14.485861347504075,2021-11-09 19:50:13,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
9,OFX,Payment company,,100000,100000.0,12835.82,14.2374,1.7539,0.0,0.0,0.0,1.7539311866,1753.9311866058,,98246.0688,1423740.0,2021-11-09 19:24:33,Bank Account,Bank Account,14.491572204321091,2021-11-09 19:24:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",JP,JPY,
