,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",50000,50000.0,6418.32,0.8176614881,0.3041,100.0,81.7661,0.2,0.5041320372,252.0660185838,,49847.934,40883.0744,2021-11-10 17:53:07,Bank Account,Bank Account,0.8201558448227169,2021-11-10 17:52:07,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
1,Chong Hing Bank,Bank,"phone, online",50000,50000.0,6418.32,0.8146639511,0.6645,110.0,89.613,0.22,0.8845153351,442.2576675279,,49667.7423,40733.1976,2021-11-10 17:59:05,Bank Account,Bank Account,0.8201137326384432,2021-11-10 17:58:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
2,CITIC Bank,Payment company,"phone, online",50000,50000.0,6418.32,0.815261699,0.5955,100.0,81.5262,0.2,0.7954575693,397.7287846638,,49702.2712,40763.085,2021-11-10 17:51:40,Bank Account,Bank Account,0.8201453163711986,2021-11-10 17:51:12,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
3,DBS Hong Kong,Payment company,"phone, online",50000,50000.0,6418.32,0.815394651,0.5792,100.0,81.5395,0.2,0.7792467829,389.6233914454,,49710.3766,40769.7326,2021-11-10 17:45:28,Bank Account,Bank Account,0.8201453163711986,2021-11-10 17:45:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
4,Fubon Bank (Hong Kong),Payment company,"phone, online",50000,50000.0,6418.32,0.8159934721,0.5075,100.0,81.5993,0.2,0.7075099808,353.7549903941,,49746.245,40799.6736,2021-11-10 17:53:07,Bank Account,Bank Account,0.8201558448227169,2021-11-10 17:52:07,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
5,Hang Seng Bank,Payment company,"phone, online",50000,50000.0,6418.32,0.8151287903,0.6091,65.0,52.9834,0.13,0.7391113472,369.5556735815,,49695.4443,40756.4395,2021-11-10 17:58:07,Bank Account,Bank Account,0.8201242602790721,2021-11-10 17:57:13,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
6,HSBC Hong Kong,Payment company,"phone, online",50000,50000.0,6418.32,0.815926893,0.5118,50.0,40.7963,0.1,0.6117965084,305.8982542019,,49744.1017,40796.3446,2021-11-10 17:58:07,Bank Account,Bank Account,0.8201242602790721,2021-11-10 17:57:13,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
7,InstaReM,Payment company,online,50000,49625.0,6418.32,0.8192,0.1153,375.0,307.2,0.7556675063,0.8652620581,432.1987963405,,49567.8012,40652.8,2021-11-10 17:52:07,Bank Account,Bank Account,0.8201453163711986,2021-11-10 17:51:12,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
8,MoneyGram,Payment company,online,50000,50000.0,6418.32,0.7944278457,3.1494,270.0,214.4955,0.54,3.6893992699,1844.6996349583,,48425.3004,39721.3923,2021-11-10 16:09:21,Cash,Bank Account,0.8202611442070665,2021-11-10 16:09:14,Not specified,"{'pay_in_method': 'cash', 'pay_out_method': 'All Other Banks', 'location_from': '', 'location_to': ''}",CN,CNY,
9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",50000,50000.0,6418.32,0.8176614881,0.3029,115.0,94.0311,0.23,0.5328522114,266.426105698,,49848.5739,40883.0744,2021-11-10 17:51:08,Bank Account,Bank Account,0.8201453163711986,2021-11-10 17:50:13,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
