,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",5000,5000.0,641.83,0.0947957152,0.6098,100.0,9.4796,2.0,2.6097604846,130.4880242321,,4969.512,473.9786,2021-11-10 17:53:07,Bank Account,Bank Account,0.09537728824873554,2021-11-10 17:52:15,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
1,China Construction Bank,Payment company,"phone, online",5000,5000.0,641.83,0.0950669747,0.3142,100.0,9.5067,2.0,2.3142174529,115.7108726441,,4984.2891,475.3349,2021-11-10 17:41:54,Bank Account,Bank Account,0.09536663328968652,2021-11-10 17:41:12,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
2,Chong Hing Bank,Bank,"phone, online",5000,5000.0,641.83,0.0945242124,0.8967,110.0,10.3977,2.2,3.0966697945,154.8334897257,,4955.1665,472.6211,2021-11-10 17:59:05,Bank Account,Bank Account,0.0953794511052348,2021-11-10 17:58:15,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
3,CITIC Bank,Payment company,"phone, online",5000,5000.0,641.83,0.0949730751,0.415,100.0,9.4973,2.0,2.4150200454,120.7510022687,,4979.249,474.8654,2021-11-10 17:51:40,Bank Account,Bank Account,0.09536887508183672,2021-11-10 17:51:15,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
4,DBS Hong Kong,Payment company,"phone, online",5000,5000.0,641.83,0.0948433662,0.5659,100.0,9.4843,2.0,2.5658842958,128.2942147879,,4971.7058,474.2168,2021-11-10 17:45:28,Bank Account,Bank Account,0.09538312430198077,2021-11-10 17:45:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",5000,5000.0,641.83,0.0942462655,1.1858,100.0,9.4246,2.0,3.185840757,159.2920378516,,4940.708,471.2313,2021-11-10 17:53:07,Bank Account,Bank Account,0.09537728824873554,2021-11-10 17:52:15,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
6,Hang Seng Bank,Payment company,"phone, online",5000,5000.0,641.83,0.0947597839,0.6325,65.0,6.1594,1.3,1.9325062989,96.6253149475,,4968.3747,473.7989,2021-11-10 17:58:07,Bank Account,Bank Account,0.09536296068086417,2021-11-10 17:57:15,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
7,HSBC Hong Kong,Payment company,"phone, online",5000,5000.0,641.83,0.0946521533,0.7454,50.0,4.7326,1.0,1.745370466,87.2685232978,,4962.7315,473.2608,2021-11-10 17:58:07,Bank Account,Bank Account,0.09536296068086417,2021-11-10 17:57:15,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
8,InstaReM,Payment company,online,5000,4882.5,641.83,0.0953,0.0722,117.5,11.1978,2.4065540195,2.4222196647,121.0261251302,,4878.9739,465.3023,2021-11-10 17:52:08,Debit Card,Bank Account,0.09536887508183672,2021-11-10 17:51:15,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
9,InstaReM,Payment company,online,5000,4982.5,641.83,0.0953,0.0722,17.5,1.6678,0.3512293026,0.4222196647,21.098344795,,4978.9017,474.8323,2021-11-10 17:52:08,Bank Account,Bank Account,0.09536887508183672,2021-11-10 17:51:15,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",GB,GBP,
