,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",100,100.0,12.84,0.8176614881,0.3041,100.0,81.7661,100.0,100.3041320372,100.3041320372,,99.6959,81.7661,2021-11-10 17:53:07,Bank Account,Bank Account,0.8201558448227169,2021-11-10 17:52:07,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
1,Chong Hing Bank,Bank,"phone, online",100,100.0,12.84,0.8146639511,0.6645,110.0,89.613,110.0,110.6645153351,110.6645153351,,99.3355,81.4664,2021-11-10 17:59:05,Bank Account,Bank Account,0.8201137326384432,2021-11-10 17:58:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
2,CITIC Bank,Payment company,"phone, online",100,100.0,12.84,0.815261699,0.5955,100.0,81.5262,100.0,100.5954575693,100.5954575693,,99.4045,81.5262,2021-11-10 17:51:40,Bank Account,Bank Account,0.8201453163711986,2021-11-10 17:51:12,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
3,DBS Hong Kong,Payment company,"phone, online",100,100.0,12.84,0.815394651,0.5792,100.0,81.5395,100.0,100.5792467829,100.5792467829,,99.4208,81.5395,2021-11-10 17:45:28,Bank Account,Bank Account,0.8201453163711986,2021-11-10 17:45:14,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
4,Fubon Bank (Hong Kong),Payment company,"phone, online",100,100.0,12.84,0.8159934721,0.5075,100.0,81.5993,100.0,100.5075099808,100.5075099808,,99.4925,81.5993,2021-11-10 17:53:07,Bank Account,Bank Account,0.8201558448227169,2021-11-10 17:52:07,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
5,Hang Seng Bank,Payment company,"phone, online",100,100.0,12.84,0.8151287903,0.6091,65.0,52.9834,65.0,65.6091113472,65.6091113472,,99.3909,81.5129,2021-11-10 17:58:07,Bank Account,Bank Account,0.8201242602790721,2021-11-10 17:57:13,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
6,HSBC Hong Kong,Payment company,"phone, online",100,100.0,12.84,0.815926893,0.5118,50.0,40.7963,50.0,50.5117965084,50.5117965084,,99.4882,81.5927,2021-11-10 17:58:07,Bank Account,Bank Account,0.8201242602790721,2021-11-10 17:57:13,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
7,InstaReM,Payment company,online,100,98.0,12.84,0.8192,0.1153,2.0,1.6384,2.0408163265,2.1152620581,2.112956817,,97.887,80.2816,2021-11-10 17:52:07,Debit Card,Bank Account,0.8201453163711986,2021-11-10 17:51:12,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
8,InstaReM,Payment company,online,100,92.51,12.84,0.8192,0.1153,7.49,6.1358,8.0964220084,7.6052620581,7.59662893,,92.4034,75.7842,2021-11-10 17:52:07,Bank Account,Bank Account,0.8201453163711986,2021-11-10 17:51:12,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
9,MoneyGram,Payment company,online,100,100.0,12.84,0.810693,1.2455,8.0,6.4855,8.0,9.2455269198,9.2455269198,,98.7545,81.0693,2021-11-10 07:47:23,Credit Card,Bank Account,0.8209177515856508,2021-11-10 07:47:14,Not specified,"{'pay_in_method': 'creditCardExplicit', 'pay_out_method': 'UnionPay Cards', 'location_from': '', 'location_to': ''}",CN,CNY,
10,MoneyGram,Payment company,online,100,100.0,12.84,0.7944278457,3.1494,92.0,73.0874,92.0,95.1493992699,95.1493992699,,96.8506,79.4428,2021-11-10 16:09:21,Cash,Bank Account,0.8202611442070665,2021-11-10 16:09:14,Not specified,"{'pay_in_method': 'cash', 'pay_out_method': 'All Other Banks', 'location_from': '', 'location_to': ''}",CN,CNY,
11,MoneyGram,Payment company,online,100,100.0,12.84,0.810693,1.2455,8.0,6.4855,8.0,9.2455269198,9.2455269198,,98.7545,81.0693,2021-11-10 07:47:23,Debit Card,Bank Account,0.8209177515856508,2021-11-10 07:47:14,Not specified,"{'pay_in_method': 'debitCard', 'pay_out_method': 'UnionPay Cards', 'location_from': '', 'location_to': ''}",CN,CNY,
12,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",100,100.0,12.84,0.8176614881,0.3029,115.0,94.0311,115.0,115.3028522114,115.3028522114,,99.6971,81.7661,2021-11-10 17:51:08,Bank Account,Bank Account,0.8201453163711986,2021-11-10 17:50:13,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': ''}",CN,CNY,
