,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",500000,500000.0,64199.27,0.1282215669,0.1353,100.0,12.8222,0.02,0.155273753,776.3687652263,Not specified,499323.6312,64110.7834,2021-11-17 16:38:06,Bank Account,Bank Account,0.12839525194358312,2021-11-17 16:38:06,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
1,China Construction Bank,Payment company,"phone, online",500000,500000.0,64199.27,0.1282725535,0.0994,100.0,12.8273,0.02,0.119411229,597.0561448967,Not specified,499502.9439,64136.2768,2021-11-17 16:43:45,Bank Account,Bank Account,0.1284001977363045,2021-11-17 16:43:45,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
2,Chong Hing Bank,Bank,"phone, online",500000,500000.0,64199.27,0.12813449,0.2069,110.0,14.0948,0.022,0.2289372013,1144.6860064324,Not specified,498965.314,64067.245,2021-11-17 16:43:30,Bank Account,Bank Account,0.1284001977363045,2021-11-17 16:43:30,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
3,CITIC Bank,Payment company,"phone, online",500000,500000.0,64199.27,0.1281426997,0.1967,100.0,12.8143,0.02,0.2166990441,1083.4952202773,Not specified,499016.5048,64071.3499,2021-11-17 16:35:08,Bank Account,Bank Account,0.12839525194358312,2021-11-17 16:35:08,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
4,DBS Hong Kong,Payment company,"phone, online",500000,500000.0,64199.27,0.1279819801,0.3232,100.0,12.7982,0.02,0.3431544998,1715.7724992321,Not specified,498384.2275,63990.9901,2021-11-17 16:27:31,Bank Account,Bank Account,0.12839690049882196,2021-11-17 16:27:31,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",500000,500000.0,64199.27,0.1282264993,0.1314,100.0,12.8226,0.02,0.1514321618,757.1608088527,Not specified,499342.8392,64113.2496,2021-11-17 16:38:08,Bank Account,Bank Account,0.12839525194358312,2021-11-17 16:38:08,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
6,Hang Seng Bank,Payment company,"phone, online",500000,500000.0,64199.27,0.1281229981,0.2159,65.0,8.328,0.013,0.2288872518,1144.4362588085,Not specified,498920.5637,64061.499,2021-11-17 16:43:07,Bank Account,Bank Account,0.1284001977363045,2021-11-17 16:43:07,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
7,HSBC Hong Kong,Payment company,"phone, online",500000,500000.0,64199.27,0.1278903213,0.3971,50.0,6.3945,0.01,0.4070994475,2035.4972375691,Not specified,498014.5028,63945.1606,2021-11-17 16:43:28,Bank Account,Bank Account,0.1284001977363045,2021-11-17 16:43:28,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
8,InstaReM,Payment company,online,500000,497750.0,64199.27,0.1283,0.0742,2250.0,288.675,0.4520341537,0.5262206537,2619.26330375,Not specified,497380.7367,63861.325,2021-11-17 16:36:54,Bank Account,Bank Account,0.12839525194358312,2021-11-17 16:36:54,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",500000,500000.0,64199.27,0.1282544568,0.1097,115.0,14.7493,0.023,0.1326575606,663.2878030011,Not specified,499451.7122,64127.2284,2021-11-17 16:36:09,Bank Account,Bank Account,0.12839525194358312,2021-11-17 16:36:09,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
