,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",500000,500000.0,64189.38,0.1282215669,0.1231,100.0,12.8222,0.02,0.1430927042,715.4635209643,Not specified,499384.5365,64110.7834,2021-11-18 13:38:06,Bank Account,Bank Account,0.12837959277993172,2021-11-18 13:38:06,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
1,China Construction Bank,Payment company,"phone, online",500000,500000.0,64189.38,0.128262682,0.0891,100.0,12.8263,0.02,0.109142564,545.7128198551,Not specified,499554.2872,64131.341,2021-11-18 13:49:58,Bank Account,Bank Account,0.1283771206295614,2021-11-18 13:49:58,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
2,Chong Hing Bank,Bank,"phone, online",500000,500000.0,64189.38,0.1281459839,0.1813,110.0,14.0961,0.022,0.2033265672,1016.6328361269,Not specified,499093.3672,64072.992,2021-11-18 13:43:28,Bank Account,Bank Account,0.1283787687192292,2021-11-18 13:43:28,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
3,CITIC Bank,Payment company,"phone, online",500000,500000.0,64189.38,0.1281312064,0.1948,100.0,12.8131,0.02,0.2147594337,1073.7971683003,Not specified,499026.2028,64065.6032,2021-11-18 13:36:33,Bank Account,Bank Account,0.12838124093307485,2021-11-18 13:36:33,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
4,DBS Hong Kong,Payment company,"phone, online",500000,500000.0,64189.38,0.127973791,0.3212,100.0,12.7974,0.02,0.3412142153,1706.0710766436,Not specified,498393.9289,63986.8955,2021-11-18 13:27:34,Bank Account,Bank Account,0.12838618564642446,2021-11-18 13:27:34,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",500000,500000.0,64189.38,0.128201841,0.1385,100.0,12.8202,0.02,0.1584579883,792.2899412836,Not specified,499307.7101,64100.9205,2021-11-18 13:38:07,Bank Account,Bank Account,0.12837959277993172,2021-11-18 13:38:07,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
6,Hang Seng Bank,Payment company,"phone, online",500000,500000.0,64189.38,0.1281065847,0.212,65.0,8.3269,0.013,0.2250163976,1125.0819882141,Not specified,498939.918,64053.2923,2021-11-18 13:43:15,Bank Account,Bank Account,0.1283787687192292,2021-11-18 13:43:15,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
7,HSBC Hong Kong,Payment company,"phone, online",500000,500000.0,64189.38,0.1278788731,0.3894,50.0,6.3939,0.01,0.3993911687,1996.9558434251,Not specified,498053.0442,63939.4366,2021-11-18 13:46:49,Bank Account,Bank Account,0.1283787687192292,2021-11-18 13:46:49,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
8,InstaReM,Payment company,online,500000,497750.0,64189.38,0.1283,0.0633,2250.0,288.675,0.4520341537,0.5153151537,2564.9811775,Not specified,497435.0188,63861.325,2021-11-18 13:36:44,Bank Account,Bank Account,0.12838124093307485,2021-11-18 13:36:44,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",500000,500000.0,64189.38,0.1282380097,0.1116,115.0,14.7474,0.023,0.1345670685,672.8353423955,Not specified,499442.1647,64119.0049,2021-11-18 13:36:09,Bank Account,Bank Account,0.12838124093307485,2021-11-18 13:36:09,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
