,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",10000,10000.0,1283.18,0.0957762666,0.2513,100.0,9.5776,1.0,1.2512682603,125.1268260329,Not specified,9974.8732,957.7627,2021-11-23 15:08:08,Bank Account,Bank Account,0.09601752821388014,2021-11-23 15:07:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
1,China Construction Bank,Payment company,"phone, online",10000,10000.0,1283.18,0.0957854406,0.1782,100.0,9.5785,1.0,1.1782145146,117.8214514597,Not specified,9982.1785,957.8544,2021-11-23 15:03:03,Bank Account,Bank Account,0.09595644893271656,2021-11-23 15:02:56,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
2,Chong Hing Bank,Bank,"phone, online",10000,10000.0,1283.18,0.0955858456,0.3397,110.0,10.5144,1.1,1.439657231,143.9657231029,Not specified,9966.0343,955.8585,2021-11-23 14:58:39,Bank Account,Bank Account,0.09591161638843622,2021-11-23 14:57:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
3,CITIC Bank,Payment company,"phone, online",10000,10000.0,1283.18,0.0955557042,0.4512,100.0,9.5556,1.0,1.4511785672,145.1178567246,Not specified,9954.8821,955.557,2021-11-23 15:05:12,Bank Account,Bank Account,0.09598878502274434,2021-11-23 15:04:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
4,DBS Hong Kong,Payment company,"phone, online",10000,10000.0,1283.18,0.0953801117,0.5548,100.0,9.538,1.0,1.554798952,155.4798951997,Not specified,9944.5201,953.8011,2021-11-23 14:57:39,Bank Account,Bank Account,0.09591223173900491,2021-11-23 14:56:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",10000,10000.0,1283.18,0.0953543367,0.6907,100.0,9.5354,1.0,1.6906983662,169.0698366208,Not specified,9930.9302,953.5434,2021-11-23 15:08:07,Bank Account,Bank Account,0.09601752821388014,2021-11-23 15:07:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
6,Hang Seng Bank,Payment company,"phone, online",10000,10000.0,1283.18,0.0953743443,0.5602,65.0,6.1993,0.65,1.2101741554,121.017415542,Not specified,9943.9826,953.7434,2021-11-23 14:58:07,Bank Account,Bank Account,0.09591161638843622,2021-11-23 14:57:56,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
7,HSBC Hong Kong,Payment company,"phone, online",10000,10000.0,1283.18,0.0952290258,0.7117,50.0,4.7615,0.5,1.2116870793,121.1687079285,Not specified,9928.8313,952.2903,2021-11-23 14:58:38,Bank Account,Bank Account,0.09591161638843622,2021-11-23 14:57:56,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
8,InstaReM,Payment company,online,10000,9770.0,1283.18,0.0959,0.1261,230.0,22.057,2.3541453429,2.4802854164,242.3238851835,Not specified,9757.6761,936.943,2021-11-23 15:07:23,Debit Card,Bank Account,0.09602112111277213,2021-11-23 15:06:55,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
9,InstaReM,Payment company,online,10000,9970.0,1283.18,0.0959,0.1261,30.0,2.877,0.3009027081,0.4270427816,42.5761653305,Not specified,9957.4238,956.123,2021-11-23 15:07:22,Bank Account,Bank Account,0.09602112111277213,2021-11-23 15:06:55,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
10,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",10000,10000.0,1283.18,0.0956754688,0.3264,115.0,11.0027,1.15,1.4764091871,147.6409187149,Not specified,9967.3591,956.7547,2021-11-23 15:06:20,Bank Account,Bank Account,0.09598878502274434,2021-11-23 15:05:55,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
11,OFX,Payment company,,10000,10000.0,1283.18,0.0938505,2.155,60.0,5.631,0.6,2.7550496439,275.5049643891,Not specified,9784.495,938.505,2021-11-23 09:49:46,Bank Account,Bank Account,0.09591757127826109,2021-11-23 09:48:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
12,Public Bank Hong Kong,Payment company,"phone, online",10000,10000.0,1283.18,0.0956663159,0.3359,60.0,5.74,0.6,0.9359445924,93.5944592374,Not specified,9966.4055,956.6632,2021-11-23 15:06:08,Bank Account,Bank Account,0.09598878502274434,2021-11-23 15:05:55,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
13,Shanghai Commercial Bank,Payment company,"phone, online",10000,10000.0,1283.18,0.0956937799,0.3372,170.0,16.2679,1.7,2.037176259,203.7176258956,Not specified,9966.2824,956.9378,2021-11-23 15:08:09,Bank Account,Bank Account,0.09601752821388014,2021-11-23 15:07:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
14,Skrill,Payment company,,10000,10000.0,1283.18,0.0932,2.8242,0.0,0.0,0.0,2.8241865568,282.418655678,Within 24 hours,9717.5813,932.0,2021-11-23 14:51:38,Debit Card,Bank Account,0.09590863888621563,2021-11-23 14:50:56,Not specified,"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': '', 'transfer_speed': 'up to 1 hours'}",GB,GBP,
15,Skrill,Payment company,,10000,10000.0,1283.18,0.0932,2.8242,198.9990990991,18.5467,1.989990991,4.8141775478,481.4177547771,Within 24 hours,9717.5813,932.0,2021-11-23 14:51:37,Credit Card,Bank Account,0.09590863888621563,2021-11-23 14:50:56,Not specified,"{'pay_in_method': 'CREDIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': '', 'transfer_speed': 'up to 1 hours'}",GB,GBP,
