,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",1000,1000.0,128.23,0.1280901755,0.1082,100.0,12.809,10.0,10.1082361983,101.0823619828,Not specified,998.9176,128.0902,2021-11-24 18:23:06,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:23:06,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
1,China Construction Bank,Payment company,"phone, online",1000,1000.0,128.23,0.1281115083,0.091,100.0,12.8112,10.0,10.0909591709,100.9095917086,Not specified,999.0904,128.1115,2021-11-24 18:22:36,Bank Account,Bank Account,0.1282281435129382,2021-11-24 18:22:36,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
2,Chong Hing Bank,Bank,"phone, online",1000,1000.0,128.23,0.1280098312,0.1709,110.0,14.0811,11.0,11.1708931246,111.7089312459,Not specified,998.2911,128.0098,2021-11-24 18:29:04,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:29:04,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
3,CITIC Bank,Payment company,"phone, online",1000,1000.0,128.23,0.1279770665,0.1971,100.0,12.7977,10.0,10.1970846824,101.9708468242,Not specified,998.0292,127.9771,2021-11-24 18:20:51,Bank Account,Bank Account,0.12822978777970123,2021-11-24 18:20:51,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
4,DBS Hong Kong,Payment company,"phone, online",1000,1000.0,128.23,0.1278167619,0.3215,100.0,12.7817,10.0,10.3214591562,103.2145915615,Not specified,996.7854,127.8168,2021-11-24 18:27:36,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:27:36,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",1000,1000.0,128.23,0.1281246396,0.0814,100.0,12.8125,10.0,10.0813591462,100.8135914618,Not specified,999.1864,128.1246,2021-11-24 18:23:08,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:23:08,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
6,Hang Seng Bank,Payment company,"phone, online",1000,1000.0,128.23,0.1279590531,0.2105,65.0,8.3173,6.5,6.7104926424,67.1049264235,Not specified,997.8951,127.9591,2021-11-24 18:28:08,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:28:08,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
7,HSBC Hong Kong,Payment company,"phone, online",1000,1000.0,128.23,0.1277237081,0.394,50.0,6.3862,5.0,5.3940276394,53.9402763941,Not specified,996.0597,127.7237,2021-11-24 18:28:19,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:28:19,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
8,InstaReM,Payment company,online,1000,995.5,128.23,0.1281,0.0999,4.5,0.5765,0.4520341537,0.5519681537,5.49484297,Not specified,994.5052,127.5236,2021-11-24 18:22:06,Bank Account,Bank Account,0.1282281435129382,2021-11-24 18:22:06,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
9,InstaReM,Payment company,online,1000,975.5,128.23,0.1281,0.0999,24.5,3.1385,2.5115325474,2.6114665474,25.47485617,Not specified,974.5251,124.9616,2021-11-24 18:22:07,Debit Card,Bank Account,0.1282281435129382,2021-11-24 18:22:07,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
10,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",1000,1000.0,128.23,0.1281558375,0.057,115.0,14.7379,11.5,11.5570293477,115.5702934769,Not specified,999.4297,128.1558,2021-11-24 18:21:09,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:21:09,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
11,Public Bank Hong Kong,Payment company,"phone, online",1000,1000.0,128.23,0.1281558375,0.057,60.0,7.6894,6.0,6.0570293477,60.5702934769,Not specified,999.4297,128.1558,2021-11-24 18:21:08,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:21:08,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
