,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",20000,20000.0,2564.65,0.1280901755,0.1082,100.0,12.809,0.5,0.6082361983,121.6472396567,Not specified,19978.3528,2561.8035,2021-11-24 18:23:06,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:23:06,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
1,China Construction Bank,Payment company,"phone, online",20000,20000.0,2564.65,0.1281115083,0.091,100.0,12.8112,0.5,0.5909591709,118.1918341725,Not specified,19981.8082,2562.2302,2021-11-24 18:22:36,Bank Account,Bank Account,0.1282281435129382,2021-11-24 18:22:36,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
2,Chong Hing Bank,Bank,"phone, online",20000,20000.0,2564.65,0.1280098312,0.1709,110.0,14.0811,0.55,0.7208931246,144.1786249184,Not specified,19965.8214,2560.1966,2021-11-24 18:29:04,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:29:04,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
3,CITIC Bank,Payment company,"phone, online",20000,20000.0,2564.65,0.1279770665,0.1971,100.0,12.7977,0.5,0.6970846824,139.416936485,Not specified,19960.5831,2559.5413,2021-11-24 18:20:51,Bank Account,Bank Account,0.12822978777970123,2021-11-24 18:20:51,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
4,DBS Hong Kong,Payment company,"phone, online",20000,20000.0,2564.65,0.1278167619,0.3215,100.0,12.7817,0.5,0.8214591562,164.2918312307,Not specified,19935.7082,2556.3352,2021-11-24 18:27:36,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:27:36,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",20000,20000.0,2564.65,0.1281246396,0.0814,100.0,12.8125,0.5,0.5813591462,116.2718292355,Not specified,19983.7282,2562.4928,2021-11-24 18:23:08,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:23:08,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
6,Hang Seng Bank,Payment company,"phone, online",20000,20000.0,2564.65,0.1279590531,0.2105,65.0,8.3173,0.325,0.5354926424,107.0985284709,Not specified,19957.9015,2559.1811,2021-11-24 18:28:08,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:28:08,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
7,HSBC Hong Kong,Payment company,"phone, online",20000,20000.0,2564.65,0.1277237081,0.394,50.0,6.3862,0.25,0.6440276394,128.8055278821,Not specified,19921.1945,2554.4742,2021-11-24 18:28:19,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:28:19,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
8,InstaReM,Payment company,online,20000,19910.0,2564.65,0.1281,0.0999,90.0,11.529,0.4520341537,0.5519681537,109.8968594,Not specified,19890.1031,2550.471,2021-11-24 18:22:06,Bank Account,Bank Account,0.1282281435129382,2021-11-24 18:22:06,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
9,InstaReM,Payment company,online,20000,19510.0,2564.65,0.1281,0.0999,490.0,62.769,2.5115325474,2.6114665474,509.4971234,Not specified,19490.5029,2499.231,2021-11-24 18:22:07,Debit Card,Bank Account,0.1282281435129382,2021-11-24 18:22:07,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
10,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",20000,20000.0,2564.65,0.1281558375,0.057,115.0,14.7379,0.575,0.6320293477,126.4058695374,Not specified,19988.5941,2563.1167,2021-11-24 18:21:09,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:21:09,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
11,OFX,Payment company,,20000,20000.0,2564.65,0.1257515,1.9308,60.0,7.5451,0.3,2.2308064525,446.1612905,Not specified,19613.8387,2515.03,2021-11-24 17:41:12,Bank Account,Bank Account,0.12822732139536971,2021-11-24 17:41:12,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
12,Public Bank Hong Kong,Payment company,"phone, online",20000,20000.0,2564.65,0.1281558375,0.057,60.0,7.6894,0.3,0.3570293477,71.4058695374,Not specified,19988.5941,2563.1167,2021-11-24 18:21:08,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:21:08,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
13,Shanghai Commercial Bank,Payment company,"phone, online",20000,20000.0,2564.65,0.1280409731,0.1466,170.0,21.767,0.85,0.9966069142,199.3213828425,Not specified,19970.6786,2560.8195,2021-11-24 18:23:49,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:23:49,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
14,Skrill,Payment company,,20000,20000.0,2564.65,0.1245,2.9068,0.0,0.0,0.0,2.9068075,581.3615,Within 24 hours,19418.6385,2490.0,2021-11-24 17:41:01,Debit Card,Bank Account,0.12822732139536971,2021-11-24 17:41:01,Not specified,"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': '', 'transfer_speed': 'up to 1 days'}",US,USD,
15,Skrill,Payment company,,20000,20000.0,2564.65,0.1245,2.9068,397.9980980981,49.5508,1.9899904905,4.8967979905,979.3595980981,Within 24 hours,19418.6385,2490.0,2021-11-24 17:40:59,Credit Card,Bank Account,0.12822732139536971,2021-11-24 17:40:59,Not specified,"{'pay_in_method': 'CREDIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': '', 'transfer_speed': 'up to 1 days'}",US,USD,
16,Wing Lung bank,Bank,"phone, online",20000,20000.0,2564.65,0.1283861856,-0.1226,100.0,12.8386,0.5,0.3773911927,75.4782385415,Not specified,20024.5218,2567.7237,2021-11-24 18:27:08,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:27:08,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
17,Wirebarley Australia Pty Ltd,Payment company,,20000,20000.0,2564.65,0.126821,1.098,20.0,2.5364,0.1,1.198009045,239.601809,Not specified,19780.3982,2536.42,2021-11-24 18:24:07,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:24:07,Not specified,"{'pay_in_method': 'Bank Transfer (Deposit)', 'pay_out_method': 'Bank Deposit', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
18,Wise,Payment company,online,20000,19386.25978,2564.65,0.128229,0.0,613.74022,78.6993,3.1658516236,3.1658248286,613.7350254517,Not specified,19386.265,2485.8807,2021-11-24 17:59:44,Debit Card,Bank Account,0.12822896564104866,2021-11-24 17:59:44,Not specified,"{'pay_in_method': 'DEBIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
19,Wise,Payment company,online,20000,19911.66308,2564.65,0.128229,0.0,88.33692,11.3274,0.4436441077,0.4436173127,88.3315846699,Not specified,19911.6684,2553.2526,2021-11-24 17:59:44,Bank Account,Bank Account,0.12822896564104866,2021-11-24 17:59:44,Not specified,"{'pay_in_method': 'REGULAR', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
20,Wise,Payment company,online,20000,19386.25978,2564.65,0.128229,0.0,613.74022,78.6993,3.1658516236,3.1658248286,613.7350254517,Not specified,19386.265,2485.8807,2021-11-24 17:59:45,Credit Card,Bank Account,0.12822896564104866,2021-11-24 17:59:45,Not specified,"{'pay_in_method': 'CREDIT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
21,WorldRemit,Payment company,online,20000,20000.0,2564.65,0.12564,2.1541,25.0,3.141,0.125,2.2790808,455.81616,Not specified,19569.1838,2512.8,2021-11-17 18:23:14,Debit Card,Bank Account,0.12840596830940704,2021-11-17 18:23:14,Not specified,"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'BNK', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
22,WorldRemit,Payment company,online,20000,20000.0,2564.65,0.12548,2.1425,25.0,3.137,0.125,2.2675398,453.50796,Within 24 hours,19571.492,2509.6,2021-11-24 17:10:39,Credit Card,Bank Account,0.12822732139536971,2021-11-24 17:10:39,Not specified,"{'pay_in_method': 'Debit / Credit Card_Credit Card', 'pay_out_method': 'Any USD account at any bank WOR / BNK', 'location_from': '', 'location_to': '', 'transfer_speed': 'Next working day'}",US,USD,
23,WorldRemit,Payment company,online,20000,20000.0,2564.65,0.12564,2.1541,25.0,3.141,0.125,2.2790808,455.81616,Not specified,19569.1838,2512.8,2021-11-17 18:23:14,Credit Card,Bank Account,0.12840596830940704,2021-11-17 18:23:14,Not specified,"{'pay_in_method': 'Debit / Credit Card_Credit Card', 'pay_out_method': 'BNK', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
24,WorldRemit,Payment company,online,20000,20000.0,2564.65,0.12548,2.1425,25.0,3.137,0.125,2.2675398,453.50796,Within 24 hours,19571.492,2509.6,2021-11-24 17:10:39,Debit Card,Bank Account,0.12822732139536971,2021-11-24 17:10:39,Not specified,"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'Any USD account at any bank WOR / BNK', 'location_from': '', 'location_to': '', 'transfer_speed': 'Next working day'}",US,USD,
25,Xendpay,Payment company,"phone, online",20000,20000.0,2564.65,0.12759,0.4983,0.0,0.0,0.0,0.49830055,99.66011,Not specified,19900.3399,2551.8,2021-11-24 18:26:37,Bank Account,Bank Account,0.12822896564104866,2021-11-24 18:26:37,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
