,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",35000,35000.0,4491.35,0.0964320154,0.1702,100.0,9.6432,0.2857142857,0.455963466,159.5872131148,Not specified,34940.4128,3375.1205,2021-12-03 09:08:08,Bank Account,Bank Account,0.09659647012774061,2021-12-03 09:07:55,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
1,China Construction Bank,Payment company,"phone, online",35000,35000.0,4491.35,0.0965260282,0.1613,100.0,9.6526,0.2857142857,0.4470638644,156.4723525324,Not specified,34943.5276,3378.411,2021-12-03 09:01:20,Bank Account,Bank Account,0.09668202428233913,2021-12-03 09:00:56,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
2,Chong Hing Bank,Bank,"phone, online",35000,35000.0,4491.35,0.0963316893,0.3073,110.0,10.5965,0.3142857143,0.6215375639,217.538147349,Not specified,34892.4619,3371.6091,2021-12-03 09:17:33,Bank Account,Bank Account,0.09662858237907455,2021-12-03 09:16:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
3,CITIC Bank,Payment company,"phone, online",35000,35000.0,4491.35,0.0962213862,0.4189,100.0,9.6221,0.2857142857,0.7046464448,246.6262556891,Not specified,34853.3737,3367.7485,2021-12-03 09:21:10,Bank Account,Bank Account,0.09662618432555137,2021-12-03 09:20:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
4,DBS Hong Kong,Payment company,"phone, online",35000,35000.0,4491.35,0.0961052853,0.5553,100.0,9.6105,0.2857142857,0.8409720857,294.3402300088,Not specified,34805.6598,3363.685,2021-12-03 09:16:11,Bank Account,Bank Account,0.09664189693292259,2021-12-03 09:15:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",35000,35000.0,4491.35,0.0960790154,0.5357,100.0,9.6079,0.2857142857,0.8214012987,287.4904545498,Not specified,34812.5095,3362.7655,2021-12-03 09:08:09,Bank Account,Bank Account,0.09659647012774061,2021-12-03 09:07:55,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
6,Hang Seng Bank,Payment company,"phone, online",35000,35000.0,4491.35,0.0960799385,0.6495,65.0,6.2452,0.1857142857,0.8352241819,292.3284636818,Not specified,34772.6715,3362.7978,2021-12-03 09:13:07,Bank Account,Bank Account,0.09670806697429367,2021-12-03 09:12:53,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
7,HSBC Hong Kong,Payment company,"phone, online",35000,35000.0,4491.35,0.0959508732,0.783,50.0,4.7975,0.1428571429,0.925825767,324.0390184226,Not specified,34725.961,3358.2806,2021-12-03 09:13:07,Bank Account,Bank Account,0.09670806697429367,2021-12-03 09:12:53,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
8,InstaReM,Payment company,online,35000,34895.0,4491.35,0.0965,0.1162,105.0,10.1325,0.3009027081,0.4170937794,145.5448743127,Not specified,34854.4551,3367.3675,2021-12-03 09:21:56,Bank Account,Bank Account,0.09661225481382697,2021-12-03 09:21:55,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",35000,35000.0,4491.35,0.0963020031,0.3355,115.0,11.0747,0.3285714286,0.6640718379,232.4251432492,Not specified,34882.5749,3370.5701,2021-12-03 09:21:09,Bank Account,Bank Account,0.09662618432555137,2021-12-03 09:20:56,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
10,OFX,Payment company,,35000,35000.0,4491.35,0.0949,1.744,60.0,5.694,0.1714285714,1.9154631453,670.4121008563,Not specified,34389.5879,3321.5,2021-12-03 05:14:08,Bank Account,Bank Account,0.09658446648855308,2021-12-03 05:13:54,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
11,Public Bank Hong Kong,Payment company,"phone, online",35000,35000.0,4491.35,0.0964524779,0.1798,60.0,5.7871,0.1714285714,0.351200196,122.9200686259,Not specified,34937.0799,3375.8367,2021-12-03 09:21:08,Bank Account,Bank Account,0.09662618432555137,2021-12-03 09:20:56,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
12,Shanghai Commercial Bank,Payment company,"phone, online",35000,35000.0,4491.35,0.0962463908,0.3624,170.0,16.3619,0.4857142857,0.8481285302,296.844985563,Not specified,34873.155,3368.6237,2021-12-03 09:08:08,Bank Account,Bank Account,0.09659647012774061,2021-12-03 09:07:55,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
