,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",1000000,1000000.0,128219.92,0.1280737705,0.1146,100.0,12.8074,0.01,0.1246260246,1246.2602459016,Not specified,998853.7398,128073.7705,2021-12-13 09:08:07,Bank Account,Bank Account,0.12822074483430673,2021-12-13 09:08:07,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
1,China Construction Bank,Payment company,"phone, online",1000000,1000000.0,128219.92,0.1281000205,0.0954,100.0,12.81,0.01,0.1054345153,1054.3451526953,Not specified,999045.6548,128100.0205,2021-12-13 08:50:51,Bank Account,Bank Account,0.1282223889113278,2021-12-13 08:50:51,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
2,Chong Hing Bank,Bank,"phone, online",1000000,1000000.0,128219.92,0.1279656028,0.1996,110.0,14.0762,0.011,0.2106263404,2106.2634043969,Not specified,998003.7366,127965.6028,2021-12-13 08:43:58,Bank Account,Bank Account,0.12822156686754713,2021-12-13 08:43:58,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
3,CITIC Bank,Payment company,"phone, online",1000000,1000000.0,128219.92,0.1279664216,0.1971,100.0,12.7966,0.01,0.2070682893,2070.6828928088,Not specified,998029.3171,127966.4216,2021-12-13 09:06:25,Bank Account,Bank Account,0.1282191007994461,2021-12-13 09:06:25,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
4,DBS Hong Kong,Payment company,"phone, online",1000000,1000000.0,128219.92,0.1278036935,0.3265,100.0,12.7804,0.01,0.336538437,3365.3843696083,Not specified,996734.6156,127803.6935,2021-12-13 08:43:31,Bank Account,Bank Account,0.1282223889113278,2021-12-13 08:43:31,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",1000000,1000000.0,128219.92,0.1280376943,0.1428,100.0,12.8038,0.01,0.1527620291,1527.6202914137,Not specified,998572.3797,128037.6943,2021-12-13 09:08:08,Bank Account,Bank Account,0.12822074483430673,2021-12-13 09:08:08,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
6,Hang Seng Bank,Payment company,"phone, online",1000000,1000000.0,128219.92,0.1279426817,0.2169,65.0,8.3163,0.0065,0.2233628454,2233.6284544524,Not specified,997831.3715,127942.6817,2021-12-13 08:58:08,Bank Account,Bank Account,0.12822074483430673,2021-12-13 08:58:08,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
7,HSBC Hong Kong,Payment company,"phone, online",1000000,1000000.0,128219.92,0.1277155519,0.394,50.0,6.3858,0.005,0.3990024777,3990.024776817,Not specified,996059.9752,127715.5519,2021-12-13 08:58:08,Bank Account,Bank Account,0.12822074483430673,2021-12-13 08:58:08,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
8,InstaReM,Payment company,online,1000000,995500.0,128219.92,0.1281,0.0961,4500.0,576.45,0.4520341537,0.5481251537,5456.5859050001,Not specified,994543.4141,127523.55,2021-12-13 08:52:09,Bank Account,Bank Account,0.128223210965649,2021-12-13 08:52:09,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",1000000,1000000.0,128219.92,0.1280901755,0.1006,115.0,14.7304,0.0115,0.1120507878,1120.5078775459,Not specified,998994.4921,128090.1755,2021-12-13 09:06:08,Bank Account,Bank Account,0.1282191007994461,2021-12-13 09:06:08,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
