,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",35000,35000.0,4487.7,0.0967117988,0.2378,100.0,9.6712,0.2857142857,0.5234949192,183.2232217118,Not specified,34916.7768,3384.913,2021-12-13 09:08:07,Bank Account,Bank Account,0.09694230887559575,2021-12-13 09:07:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
1,China Construction Bank,Payment company,"phone, online",35000,35000.0,4487.7,0.0968007357,0.1322,100.0,9.6801,0.2857142857,0.417934338,146.2770182953,Not specified,34953.723,3388.0257,2021-12-13 08:50:51,Bank Account,Bank Account,0.09692889512138778,2021-12-13 08:50:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
2,Chong Hing Bank,Bank,"phone, online",35000,35000.0,4487.7,0.0965334826,0.3922,110.0,10.6187,0.3142857143,0.706530697,247.2857439353,Not specified,34862.7143,3378.6719,2021-12-13 08:43:58,Bank Account,Bank Account,0.09691362145614082,2021-12-13 08:43:40,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
3,CITIC Bank,Payment company,"phone, online",35000,35000.0,4487.7,0.0965241648,0.4112,100.0,9.6524,0.2857142857,0.6969503259,243.9326140674,Not specified,34856.0674,3378.3458,2021-12-13 09:06:25,Bank Account,Bank Account,0.09692274608772099,2021-12-13 09:05:40,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
4,DBS Hong Kong,Payment company,"phone, online",35000,35000.0,4487.7,0.0963069371,0.6417,100.0,9.6307,0.2857142857,0.9273784436,324.5824552548,Not specified,34775.4175,3370.7428,2021-12-13 08:43:31,Bank Account,Bank Account,0.09692889512138778,2021-12-13 08:42:41,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",35000,35000.0,4487.7,0.0963001483,0.6624,100.0,9.63,0.2857142857,0.9481294693,331.8453142755,Not specified,34768.1547,3370.5052,2021-12-13 09:08:08,Bank Account,Bank Account,0.09694230887559575,2021-12-13 09:07:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
6,Hang Seng Bank,Payment company,"phone, online",35000,35000.0,4487.7,0.0963855422,0.5593,65.0,6.2651,0.1857142857,0.745007852,260.7527481928,Not specified,34804.2473,3373.494,2021-12-13 08:58:08,Bank Account,Bank Account,0.09692765229187493,2021-12-13 08:57:39,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
7,HSBC Hong Kong,Payment company,"phone, online",35000,35000.0,4487.7,0.0961630926,0.7888,50.0,4.8082,0.1428571429,0.9316513298,326.0779654294,Not specified,34723.922,3365.7082,2021-12-13 08:58:08,Bank Account,Bank Account,0.09692765229187493,2021-12-13 08:57:39,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
8,InstaReM,Payment company,online,35000,34895.0,4487.7,0.0968,0.1493,105.0,10.164,0.3009027081,0.4501946609,157.0954269296,Not specified,34842.9046,3377.836,2021-12-13 09:07:01,Bank Account,Bank Account,0.09694473068157122,2021-12-13 09:06:39,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",35000,35000.0,4487.7,0.0965903603,0.3429,115.0,11.1079,0.3285714286,0.6715103352,235.028617309,Not specified,34879.9714,3380.6626,2021-12-13 09:06:08,Bank Account,Bank Account,0.09692274608772099,2021-12-13 09:05:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
10,OFX,Payment company,,35000,35000.0,4487.7,0.09507875,1.7472,60.0,5.7047,0.1714285714,1.9186108218,671.5137876427,Not specified,34388.4862,3327.7563,2021-12-13 04:23:06,Bank Account,Bank Account,0.09676948934158648,2021-12-13 04:23:04,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
11,Public Bank Hong Kong,Payment company,"phone, online",35000,35000.0,4487.7,0.0967155403,0.2138,60.0,5.8029,0.1714285714,0.3852130988,134.8245846068,Not specified,34925.1754,3385.0439,2021-12-13 09:06:08,Bank Account,Bank Account,0.09692274608772099,2021-12-13 09:05:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
12,Shanghai Commercial Bank,Payment company,"phone, online",35000,35000.0,4487.7,0.0965250965,0.4304,170.0,16.4093,0.4857142857,0.9160860762,320.6301266892,Not specified,34849.3699,3378.3784,2021-12-13 09:08:13,Bank Account,Bank Account,0.09694230887559575,2021-12-13 09:07:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
13,Skrill,Payment company,,35000,35000.0,4487.7,0.0941,2.8995,0.0,0.0,0.0,2.8994910304,1014.8218606225,Within 24 hours,33985.1781,3293.5,2021-12-13 08:36:19,Debit Card,Bank Account,0.09690989367461726,2021-12-13 08:35:40,Not specified,"{'pay_in_method': 'DEBIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': '', 'transfer_speed': 'up to 1 hours'}",GB,GBP,
14,Skrill,Payment company,,35000,35000.0,4487.7,0.0941,2.8995,696.4965965966,65.5403,1.989990276,4.8894813064,1711.3184572191,Within 24 hours,33985.1781,3293.5,2021-12-13 08:36:19,Credit Card,Bank Account,0.09690989367461726,2021-12-13 08:35:40,Not specified,"{'pay_in_method': 'CREDIT_CARD', 'pay_out_method': 'BANK', 'location_from': '', 'location_to': '', 'transfer_speed': 'up to 1 hours'}",GB,GBP,
15,Wing Lung bank,Bank,"phone, online",35000,35000.0,4487.7,0.0970685304,-0.1346,100.0,9.7069,0.2857142857,0.151084408,52.8795428072,Not specified,35047.1205,3397.3986,2021-12-13 08:57:07,Bank Account,Bank Account,0.09693802284086073,2021-12-13 08:56:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
16,Wirebarley Australia Pty Ltd,Payment company,,35000,35000.0,4487.7,0.095804,1.1724,20.0,1.9161,0.0571428571,1.2295204277,430.3321497058,Not specified,34589.6679,3353.14,2021-12-13 08:52:34,Bank Account,Bank Account,0.09694050878177139,2021-12-13 08:51:40,Not specified,"{'pay_in_method': 'Bank Transfer (Deposit)', 'pay_out_method': 'Bank Deposit', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
17,Wise,Payment company,online,35000,34848.15855,4487.7,0.0969167,-0.0152,151.84145,14.716,0.4357230233,0.420499668,146.5363909925,Not specified,34853.4636,3377.3685,2021-12-13 07:58:40,Bank Account,Bank Account,0.09690194827207765,2021-12-13 07:58:39,Not specified,"{'pay_in_method': 'REGULAR', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
18,WorldRemit,Payment company,online,35000,35000.0,4487.7,0.09456,2.125,25.0,2.364,0.0714285714,2.1964636152,768.762265344,Not specified,34256.2377,3309.6,2021-12-10 23:04:22,Debit Card,Bank Account,0.09661306141193017,2021-12-10 21:59:59,Not specified,"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'BNK', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
19,WorldRemit,Payment company,online,35000,35000.0,4487.7,0.09486,2.1316,25.0,2.3715,0.0714285714,2.203001536,771.05053761,Within 24 hours,34253.9495,3320.1,2021-12-13 07:18:28,Debit Card,Bank Account,0.09692604946607365,2021-12-13 07:17:39,Not specified,"{'pay_in_method': 'Debit / Credit Card_Debit Card', 'pay_out_method': 'Any GBP account at any bank WOR / BNK', 'location_from': '', 'location_to': '', 'transfer_speed': 'Next working day'}",GB,GBP,
