,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",15000,15000.0,1923.3,0.8130081301,0.3443,100.0,81.3008,0.6666666667,1.0110061362,151.6509204321,Not specified,14948.3491,12195.122,2021-12-13 09:08:07,Bank Account,Bank Account,0.81581731108276,2021-12-13 09:07:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",CN,CNY,
1,Chong Hing Bank,Bank,"phone, online",15000,15000.0,1923.3,0.8103071064,0.6956,110.0,89.1338,0.7333333333,1.4289009101,214.3351365254,Not specified,14895.6649,12154.6066,2021-12-13 08:43:58,Bank Account,Bank Account,0.8159828183100397,2021-12-13 08:43:33,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",CN,CNY,
2,CITIC Bank,Payment company,"phone, online",15000,15000.0,1923.3,0.8111615834,0.571,100.0,81.1162,0.6666666667,1.2376371183,185.6455677403,Not specified,14914.3544,12167.4238,2021-12-13 09:06:25,Bank Account,Bank Account,0.8158196726566357,2021-12-13 09:05:34,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",CN,CNY,
3,DBS Hong Kong,Payment company,"phone, online",15000,15000.0,1923.3,0.8112181739,0.5853,100.0,81.1218,0.6666666667,1.2519999182,187.7999877321,Not specified,14912.2,12168.2726,2021-12-13 08:43:31,Bank Account,Bank Account,0.8159944607927991,2021-12-13 08:42:33,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",CN,CNY,
4,Fubon Bank (Hong Kong),Payment company,"phone, online",15000,15000.0,1923.3,0.8129420372,0.3524,100.0,81.2942,0.6666666667,1.0191075638,152.8661345675,Not specified,14947.1339,12194.1306,2021-12-13 09:08:08,Bank Account,Bank Account,0.81581731108276,2021-12-13 09:07:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",CN,CNY,
5,Hang Seng Bank,Payment company,"phone, online",15000,15000.0,1923.3,0.8116224332,0.5165,65.0,52.7555,0.4333333333,0.9498719684,142.4807952724,Not specified,14922.5192,12174.3365,2021-12-13 08:58:08,Bank Account,Bank Account,0.8158365441944853,2021-12-13 08:57:34,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",CN,CNY,
6,HSBC Hong Kong,Payment company,"phone, online",15000,15000.0,1923.3,0.8113590264,0.5488,50.0,40.568,0.3333333333,0.8821586902,132.3238035335,Not specified,14917.6762,12170.3854,2021-12-13 08:58:08,Bank Account,Bank Account,0.8158365441944853,2021-12-13 08:57:34,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",CN,CNY,
7,InstaReM,Payment company,online,15000,14587.5,1923.3,0.815,0.0981,412.5,336.1875,2.8277634961,2.9258806032,426.8128330033,Not specified,14573.1872,11888.8125,2021-12-13 09:07:01,Debit Card,Bank Account,0.8158004397915157,2021-12-13 09:06:33,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",CN,CNY,
8,InstaReM,Payment company,online,15000,14887.5,1923.3,0.815,0.0981,112.5,91.6875,0.7556675063,0.8537846134,127.1071843247,Not specified,14872.8928,12133.3125,2021-12-13 09:07:01,Bank Account,Bank Account,0.8158004397915157,2021-12-13 09:06:33,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",CN,CNY,
9,MoneyGram,Payment company,online,15000,15000.0,1923.3,0.805478,1.2832,8.0,6.4438,0.0533333333,1.3365330363,200.4799554459,1-3 days,14807.52,12082.17,2021-12-13 03:15:21,Credit Card,Bank Account,0.8159482454621811,2021-12-13 03:15:11,Not specified,"{'pay_in_method': 'creditCardExplicit', 'pay_out_method': 'UnionPay Cards', 'location_from': '', 'location_to': '', 'transfer_speed': '2 days'}",CN,CNY,
