,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",25000,25000.0,3205.48,0.113481616,0.224,100.0,11.3482,0.4,0.6240238595,156.0059648774,Not specified,24943.994,2837.0404,2021-12-13 09:08:07,Bank Account,Bank Account,0.11373641267956423,2021-12-13 09:07:40,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",DE,EUR,
1,China Construction Bank,Payment company,"phone, online",25000,25000.0,3205.48,0.1134159758,0.2521,100.0,11.3416,0.4,0.6520566286,163.0141571492,Not specified,24936.9858,2835.3994,2021-12-13 08:50:51,Bank Account,Bank Account,0.11370257064053188,2021-12-13 08:50:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",DE,EUR,
2,Chong Hing Bank,Bank,"phone, online",25000,25000.0,3205.48,0.1131298504,0.4545,110.0,12.4443,0.44,0.8945359414,223.6339853384,Not specified,24886.366,2828.2463,2021-12-13 08:43:58,Bank Account,Bank Account,0.11364641424112308,2021-12-13 08:43:40,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",DE,EUR,
3,CITIC Bank,Payment company,"phone, online",25000,25000.0,3205.48,0.1133504115,0.3204,100.0,11.335,0.4,0.7204236755,180.1059188751,Not specified,24919.8941,2833.7603,2021-12-13 09:06:25,Bank Account,Bank Account,0.11371478054139159,2021-12-13 09:05:40,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",DE,EUR,
4,DBS Hong Kong,Payment company,"phone, online",25000,25000.0,3205.48,0.1128508193,0.7139,100.0,11.2851,0.4,1.1138999821,278.4749955311,Not specified,24821.525,2821.2705,2021-12-13 08:43:31,Bank Account,Bank Account,0.11366225415417766,2021-12-13 08:42:40,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",DE,EUR,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",25000,25000.0,3205.48,0.1130428885,0.6098,100.0,11.3043,0.4,1.0097644469,252.4411117203,Not specified,24847.5589,2826.0722,2021-12-13 09:08:08,Bank Account,Bank Account,0.11373641267956423,2021-12-13 09:07:40,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",DE,EUR,
6,Hang Seng Bank,Payment company,"phone, online",25000,25000.0,3205.48,0.1130326664,0.5967,65.0,7.3471,0.26,0.8567132361,214.1783090313,Not specified,24850.8217,2825.8167,2021-12-13 08:58:08,Bank Account,Bank Account,0.11371119619927877,2021-12-13 08:57:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",DE,EUR,
7,HSBC Hong Kong,Payment company,"phone, online",25000,25000.0,3205.48,0.1127446559,0.85,50.0,5.6372,0.2,1.0499957157,262.4989289258,Not specified,24787.5011,2818.6164,2021-12-13 08:58:08,Bank Account,Bank Account,0.11371119619927877,2021-12-13 08:57:40,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",DE,EUR,
8,InstaReM,Payment company,online,25000,24400.0,3205.48,0.1136,0.1009,600.0,68.16,2.4590163934,2.5599536162,624.6286823632,Not specified,24375.3713,2771.84,2021-12-13 09:07:02,Debit Card,Bank Account,0.11371478054139159,2021-12-13 09:06:41,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",DE,EUR,
9,InstaReM,Payment company,online,25000,24900.0,3205.48,0.1136,0.1009,100.0,11.36,0.4016064257,0.5025436485,125.1333684772,Not specified,24874.8666,2828.64,2021-12-13 09:07:02,Bank Account,Bank Account,0.11371478054139159,2021-12-13 09:06:41,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",DE,EUR,
