,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,Bank of East Asia HK,Payment company,"phone, online",150000,150000.0,19232.87,14.5454545455,0.1929,100.0,1454.5455,0.0666666667,0.2595865394,389.3798089997,Not specified,149710.6202,2181818.1818,2021-12-13 09:08:07,Bank Account,Bank Account,14.573569857867303,2021-12-13 09:07:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
1,China Construction Bank,Payment company,"phone, online",150000,150000.0,19232.87,14.5501105808,0.1666,100.0,1455.0111,0.0666666667,0.2333099479,349.9649217719,Not specified,149750.0351,2182516.5871,2021-12-13 08:50:51,Bank Account,Bank Account,14.574397835606076,2021-12-13 08:50:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
2,Chong Hing Bank,Bank,"phone, online",150000,150000.0,19232.87,14.5222189951,0.3311,110.0,1597.4441,0.0733333333,0.4044056768,606.6085152127,Not specified,149503.3915,2178332.8493,2021-12-13 08:43:58,Bank Account,Bank Account,14.570457750993716,2021-12-13 08:43:40,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
3,CITIC Bank,Payment company,"phone, online",150000,150000.0,19232.87,14.5222189951,0.3642,100.0,1452.2219,0.0666666667,0.430894267,646.3414004734,Not specified,149453.6586,2178332.8493,2021-12-13 09:06:25,Bank Account,Bank Account,14.575306283377035,2021-12-13 09:05:40,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
4,DBS Hong Kong,Payment company,"phone, online",150000,150000.0,19232.87,14.4862453101,0.5874,100.0,1448.6245,0.0666666667,0.6540195102,981.0292652117,Not specified,149118.9707,2172936.7965,2021-12-13 08:43:31,Bank Account,Bank Account,14.57183338782785,2021-12-13 08:42:41,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
5,Fubon Bank (Hong Kong),Payment company,"phone, online",150000,150000.0,19232.87,14.5139987518,0.4088,100.0,1451.3999,0.0666666667,0.475427915,713.1418724326,Not specified,149386.8581,2177099.8128,2021-12-13 09:08:08,Bank Account,Bank Account,14.573569857867303,2021-12-13 09:07:39,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
6,Hang Seng Bank,Payment company,"phone, online",150000,150000.0,19232.87,14.4843568946,0.5903,65.0,941.4832,0.0433333333,0.6336236149,950.4354224441,Not specified,149114.5646,2172653.5342,2021-12-13 08:58:08,Bank Account,Bank Account,14.570364339246447,2021-12-13 08:57:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
7,HSBC Hong Kong,Payment company,"phone, online",150000,150000.0,19232.87,14.4529556294,0.8058,50.0,722.6478,0.0333333333,0.8391382335,1258.7073502752,Not specified,148791.2926,2167943.3444,2021-12-13 08:58:08,Bank Account,Bank Account,14.570364339246447,2021-12-13 08:57:40,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
8,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",150000,150000.0,19232.87,14.5433391507,0.2193,115.0,1672.484,0.0766666667,0.2959905841,443.9858760412,Not specified,149671.0141,2181500.8726,2021-12-13 09:06:08,Bank Account,Bank Account,14.575306283377035,2021-12-13 09:05:40,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
9,OFX,Payment company,,150000,150000.0,19232.87,14.316975,1.6458,0.0,0.0,0.0,1.6458373976,2468.7560963927,Not specified,147531.2439,2147546.25,2021-12-13 07:25:24,Bank Account,Bank Account,14.556552179571844,2021-12-13 07:24:41,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",JP,JPY,
