,Unnamed: 0,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,0,Bank of East Asia HK,Payment company,"phone, online",75000,75000.0,9620.13,0.09596008060000001,0.4165,100.0,9.596,0.1333333333,0.5498642150999999,412.39816133330004,Not specified,74687.6018,7197.005999999999,2021-11-25 14:23:07,Bank Account,Bank Account,0.0963614558281225,2021-11-25 14:22:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
1,1,China Construction Bank,Payment company,"phone, online",75000,75000.0,9620.13,0.0961630926,0.1789,100.0,9.6163,0.1333333333,0.3122511707,234.18837801549998,Not specified,74865.8116,7212.2319,2021-11-25 14:18:50,Bank Account,Bank Account,0.09633545391580946,2021-11-25 14:17:56,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
2,2,Chong Hing Bank,Bank,"phone, online",75000,75000.0,9620.13,0.09584695160000001,0.4999,110.0,10.5432,0.1466666667,0.6466137245,484.96029338150004,Not specified,74625.0397,7188.5214,2021-11-25 14:13:22,Bank Account,Bank Account,0.09632854330582434,2021-11-25 14:12:55,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
3,3,CITIC Bank,Payment company,"phone, online",75000,75000.0,9620.13,0.09592602189999999,0.4557,100.0,9.5926,0.1333333333,0.5890516056,441.7887042587,Not specified,74658.2113,7194.4516,2021-11-25 14:20:11,Bank Account,Bank Account,0.09636517556517556,2021-11-25 14:19:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
4,4,DBS Hong Kong,Payment company,"phone, online",75000,75000.0,9620.13,0.09579813109999999,0.5884,100.0,9.5798,0.1333333333,0.7217662908,541.324718139,Not specified,74558.6753,7184.8598,2021-11-25 14:20:46,Bank Account,Bank Account,0.09636517556517556,2021-11-25 14:19:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
5,5,Fubon Bank (Hong Kong),Payment company,"phone, online",75000,75000.0,9620.13,0.09568645460000001,0.7005,100.0,9.5686,0.1333333333,0.8338221302,625.3665977011,Not specified,74474.6334,7176.4841,2021-11-25 14:23:08,Bank Account,Bank Account,0.0963614558281225,2021-11-25 14:22:56,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
6,6,Hang Seng Bank,Payment company,"phone, online",75000,75000.0,9620.13,0.09576709439999999,0.5828,65.0,6.2249,0.0866666667,0.6695145539,502.13591543169997,Not specified,74562.8641,7182.5321,2021-11-25 14:13:07,Bank Account,Bank Account,0.09632854330582434,2021-11-25 14:12:55,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
7,7,HSBC Hong Kong,Payment company,"phone, online",75000,75000.0,9620.13,0.09559315550000001,0.7634,50.0,4.7797,0.0666666667,0.8300829403,622.5622052326,Not specified,74427.4378,7169.4867,2021-11-25 14:13:09,Bank Account,Bank Account,0.09632854330582434,2021-11-25 14:12:55,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
8,8,InstaReM,Payment company,online,75000,74775.0,9620.13,0.0963,0.0638,225.0,21.6675,0.30090270809999997,0.3646790672,272.6887725322,Not specified,74727.3112,7200.8325,2021-11-25 14:22:22,Bank Account,Bank Account,0.0963614558281225,2021-11-25 14:21:55,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
9,9,OCBC Wing Hang Bank Hong Kong,Payment company,"phone, online",75000,75000.0,9620.13,0.0960430273,0.33799999999999997,115.0,11.0449,0.1533333333,0.4913471621,368.51037159230003,Not specified,74746.4896,7203.227,2021-11-25 14:21:26,Bank Account,Bank Account,0.0963687670354337,2021-11-25 14:20:56,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
10,10,OFX,Payment company,,75000,75000.0,9620.13,0.0948375,1.5418,0.0,0.0,0.0,1.5417947909999998,1156.3460932268,Not specified,73843.6539,7112.8125,2021-11-25 14:10:36,Bank Account,Bank Account,0.09632259677967514,2021-11-25 14:09:52,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
11,11,Public Bank Hong Kong,Payment company,"phone, online",75000,75000.0,9620.13,0.09599416359999999,0.3887,60.0,5.7596,0.08,0.46871876450000005,351.53907337019996,Not specified,74708.4609,7199.5623,2021-11-25 14:21:08,Bank Account,Bank Account,0.0963687670354337,2021-11-25 14:20:56,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",GB,GBP,
