,Unnamed: 0,name,provider_type,transfer_methods,send_amount,conversion_amount,send_amount_usd,fx_rate,fx_margin,fee_from_currency,fee_to_currency,fee_margin,total_margin,total_cost,transfer_speed,received_amount_from_currency,received_amount_to_currency,collected_timestamp,pay_in_method,pay_out_method,mid-market_rate,mid-market_rate_timestamp,customer_price_type,source_data,to_country,to_currency,status
0,0,Bank of East Asia HK,Payment company,"phone, online",30000,30000.0,3847.68,0.12809017550000001,0.1287,100.0,12.809000000000001,0.3333333333,0.46206395969999997,138.6191879083,Not specified,29961.3808,3842.7053,2021-11-24 13:38:07,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:38:07,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
1,1,China Construction Bank,Payment company,"phone, online",30000,30000.0,3847.68,0.1281361318,0.0923,100.0,12.8136,0.3333333333,0.4255913482,127.67740447450001,Not specified,29972.3226,3844.0840000000003,2021-11-24 13:47:58,Bank Account,Bank Account,0.12825445684237527,2021-11-24 13:47:58,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
2,2,Chong Hing Bank,Bank,"phone, online",30000,30000.0,3847.68,0.12800983119999998,0.1901,110.0,14.0811,0.36666666670000003,0.556761266,167.0283797796,Not specified,29942.9716,3840.2949,2021-11-24 13:45:42,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:45:42,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
3,3,CITIC Bank,Payment company,"phone, online",30000,30000.0,3847.68,0.1280032769,0.1952,100.0,12.8003,0.3333333333,0.5285383305,158.5614991744,Not specified,29941.4385,3840.0983,2021-11-24 13:51:30,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:51:30,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
4,4,DBS Hong Kong,Payment company,"phone, online",30000,30000.0,3847.68,0.1278412723,0.3215,100.0,12.7841,0.3333333333,0.6548541331000001,196.4562399325,Not specified,29903.5438,3835.2382,2021-11-24 13:44:04,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:44:04,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
5,5,Fubon Bank (Hong Kong),Payment company,"phone, online",30000,30000.0,3847.68,0.1281246396,0.1019,100.0,12.8125,0.3333333333,0.4351924218,130.55772655639998,Not specified,29969.4423,3843.7392,2021-11-24 13:38:08,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:38:08,Not specified,"{'pay_in_method': 'Bank Account', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
6,6,Hang Seng Bank,Payment company,"phone, online",30000,30000.0,3847.68,0.1279754287,0.2169,65.0,8.3184,0.2166666667,0.4335850184,130.0755055029,Not specified,29934.9245,3839.2629,2021-11-24 13:43:07,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:43:07,Not specified,"{'pay_in_method': 'TT', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
7,7,HSBC Hong Kong,Payment company,"phone, online",30000,30000.0,3847.68,0.1277498148,0.3928,50.0,6.3875,0.1666666667,0.5594973471,167.84920411870002,Not specified,29882.1508,3832.4944,2021-11-24 13:43:33,Bank Account,Bank Account,0.12825363438736445,2021-11-24 13:43:33,Not specified,"{'pay_in_method': 'ttSelRt', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
8,8,InstaReM,Payment company,online,30000,29865.0,3847.68,0.1282,0.0431,135.0,17.307000000000002,0.4520341537,0.4951351537,147.87211365,Not specified,29852.1279,3828.6929999999998,2021-11-24 13:37:16,Bank Account,Bank Account,0.1282552793079345,2021-11-24 13:37:16,Not specified,"{'pay_in_method': 'Bank Transfer', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
9,9,InstaReM,Payment company,online,30000,29265.0,3847.68,0.1282,0.0431,735.0,94.227,2.5115325474000003,2.5546335474,747.61350765,Not specified,29252.3865,3751.7729999999997,2021-11-24 13:37:17,Debit Card,Bank Account,0.1282552793079345,2021-11-24 13:37:17,Not specified,"{'pay_in_method': 'Debit Card', 'pay_out_method': 'Bank Account', 'location_from': '', 'location_to': '', 'transfer_speed': ''}",US,USD,
